CovParm,Subject,Estimate
"UN(1,1)",Line,0.2519
"UN(2,1)",Line,0.005279
"UN(2,2)",Line,0.02909
"UN(3,1)",Line,-0.01819
"UN(3,2)",Line,0.03602
"UN(3,3)",Line,0.2297
"UN(4,1)",Line,-0.02608
"UN(4,2)",Line,0.01220
"UN(4,3)",Line,-0.00699
"UN(4,4)",Line,0.05689
"UN(5,1)",Line,0.04442
"UN(5,2)",Line,0.01881
"UN(5,3)",Line,0.01490
"UN(5,4)",Line,0.005599
"UN(5,5)",Line,0.02680
"UN(6,1)",Line,-0.1227
"UN(6,2)",Line,-0.03849
"UN(6,3)",Line,-0.1736
"UN(6,4)",Line,-0.01480
"UN(6,5)",Line,-0.02641
"UN(6,6)",Line,0.2228
"UN(1,1)",Vial(Treat*Line),0.1129
"UN(2,1)",Vial(Treat*Line),0.01838
"UN(2,2)",Vial(Treat*Line),0
"UN(3,1)",Vial(Treat*Line),0.01922
"UN(3,2)",Vial(Treat*Line),0.01430
"UN(3,3)",Vial(Treat*Line),0
"UN(4,1)",Vial(Treat*Line),0.01842
"UN(4,2)",Vial(Treat*Line),-0.02131
"UN(4,3)",Vial(Treat*Line),0.003420
"UN(4,4)",Vial(Treat*Line),0.01068
"UN(5,1)",Vial(Treat*Line),0.06446
"UN(5,2)",Vial(Treat*Line),0.01833
"UN(5,3)",Vial(Treat*Line),0.01531
"UN(5,4)",Vial(Treat*Line),0.03222
"UN(5,5)",Vial(Treat*Line),0.07354
"UN(6,1)",Vial(Treat*Line),-0.05376
"UN(6,2)",Vial(Treat*Line),-0.03006
"UN(6,3)",Vial(Treat*Line),-0.00128
"UN(6,4)",Vial(Treat*Line),-0.01760
"UN(6,5)",Vial(Treat*Line),-0.09551
"UN(6,6)",Vial(Treat*Line),0.07492
"UN(1,1)",Anim(Trea*Line*Vial),0.5538
"UN(2,1)",Anim(Trea*Line*Vial),0.1308
"UN(2,2)",Anim(Trea*Line*Vial),0.7456
"UN(3,1)",Anim(Trea*Line*Vial),-0.01322
"UN(3,2)",Anim(Trea*Line*Vial),-0.04515
"UN(3,3)",Anim(Trea*Line*Vial),0.6879
"UN(4,1)",Anim(Trea*Line*Vial),0.01419
"UN(4,2)",Anim(Trea*Line*Vial),-0.1001
"UN(4,3)",Anim(Trea*Line*Vial),0.03652
"UN(4,4)",Anim(Trea*Line*Vial),0.7941
"UN(5,1)",Anim(Trea*Line*Vial),0.1215
"UN(5,2)",Anim(Trea*Line*Vial),0.4866
"UN(5,3)",Anim(Trea*Line*Vial),-0.2477
"UN(5,4)",Anim(Trea*Line*Vial),-0.03679
"UN(5,5)",Anim(Trea*Line*Vial),0.6814
"UN(6,1)",Anim(Trea*Line*Vial),-0.1697
"UN(6,2)",Anim(Trea*Line*Vial),-0.2089
"UN(6,3)",Anim(Trea*Line*Vial),-0.1817
"UN(6,4)",Anim(Trea*Line*Vial),-0.09553
"UN(6,5)",Anim(Trea*Line*Vial),-0.1599
"UN(6,6)",Anim(Trea*Line*Vial),0.7974
