CovParm,Subject,Estimate
"UN(1,1)",Line,0.1137
"UN(2,1)",Line,0.04464
"UN(2,2)",Line,0.08911
"UN(3,1)",Line,-0.05207
"UN(3,2)",Line,0.05455
"UN(3,3)",Line,0.1272
"UN(4,1)",Line,0.01132
"UN(4,2)",Line,0.05641
"UN(4,3)",Line,0.01602
"UN(4,4)",Line,0.06096
"UN(5,1)",Line,0.05930
"UN(5,2)",Line,0.05793
"UN(5,3)",Line,0.009042
"UN(5,4)",Line,0.04009
"UN(5,5)",Line,0.04943
"UN(6,1)",Line,0.01357
"UN(6,2)",Line,-0.06001
"UN(6,3)",Line,-0.1026
"UN(6,4)",Line,-0.02761
"UN(6,5)",Line,-0.00519
"UN(6,6)",Line,0.09939
"UN(1,1)",Vial(Treat*Line),0.2879
"UN(2,1)",Vial(Treat*Line),0.1092
"UN(2,2)",Vial(Treat*Line),0.02614
"UN(3,1)",Vial(Treat*Line),0.02003
"UN(3,2)",Vial(Treat*Line),0.03004
"UN(3,3)",Vial(Treat*Line),0.04801
"UN(4,1)",Vial(Treat*Line),-0.01961
"UN(4,2)",Vial(Treat*Line),0.003180
"UN(4,3)",Vial(Treat*Line),0.09203
"UN(4,4)",Vial(Treat*Line),0.07043
"UN(5,1)",Vial(Treat*Line),0.1536
"UN(5,2)",Vial(Treat*Line),0.04923
"UN(5,3)",Vial(Treat*Line),0.02818
"UN(5,4)",Vial(Treat*Line),-0.01252
"UN(5,5)",Vial(Treat*Line),0.1290
"UN(6,1)",Vial(Treat*Line),-0.1082
"UN(6,2)",Vial(Treat*Line),-0.06861
"UN(6,3)",Vial(Treat*Line),-0.06331
"UN(6,4)",Vial(Treat*Line),-0.05835
"UN(6,5)",Vial(Treat*Line),-0.06955
"UN(6,6)",Vial(Treat*Line),0.09966
"UN(1,1)",Anim(Trea*Line*Vial),0.5590
"UN(2,1)",Anim(Trea*Line*Vial),0.1595
"UN(2,2)",Anim(Trea*Line*Vial),0.7238
"UN(3,1)",Anim(Trea*Line*Vial),0.01550
"UN(3,2)",Anim(Trea*Line*Vial),-0.03203
"UN(3,3)",Anim(Trea*Line*Vial),0.5927
"UN(4,1)",Anim(Trea*Line*Vial),0.1036
"UN(4,2)",Anim(Trea*Line*Vial),0.03906
"UN(4,3)",Anim(Trea*Line*Vial),-0.1008
"UN(4,4)",Anim(Trea*Line*Vial),0.7129
"UN(5,1)",Anim(Trea*Line*Vial),0.1696
"UN(5,2)",Anim(Trea*Line*Vial),0.4813
"UN(5,3)",Anim(Trea*Line*Vial),-0.1866
"UN(5,4)",Anim(Trea*Line*Vial),0.1378
"UN(5,5)",Anim(Trea*Line*Vial),0.6768
"UN(6,1)",Anim(Trea*Line*Vial),-0.1030
"UN(6,2)",Anim(Trea*Line*Vial),-0.1203
"UN(6,3)",Anim(Trea*Line*Vial),-0.1914
"UN(6,4)",Anim(Trea*Line*Vial),-0.06278
"UN(6,5)",Anim(Trea*Line*Vial),-0.1426
"UN(6,6)",Anim(Trea*Line*Vial),0.6540
