CovParm,Subject,Estimate
"UN(1,1)",Line,0.09081
"UN(2,1)",Line,0.003642
"UN(2,2)",Line,0.08439
"UN(3,1)",Line,-0.00243
"UN(3,2)",Line,0.06994
"UN(3,3)",Line,0.1896
"UN(4,1)",Line,0.05265
"UN(4,2)",Line,-0.00707
"UN(4,3)",Line,0.08030
"UN(4,4)",Line,0.01356
"UN(5,1)",Line,0.003467
"UN(5,2)",Line,0.05147
"UN(5,3)",Line,0.01142
"UN(5,4)",Line,-0.01823
"UN(5,5)",Line,0.07708
"UN(6,1)",Line,-0.04766
"UN(6,2)",Line,-0.09541
"UN(6,3)",Line,-0.1332
"UN(6,4)",Line,-0.07920
"UN(6,5)",Line,-0.04762
"UN(6,6)",Line,0.1550
"UN(1,1)",Vial(Treat*Line),0.1065
"UN(2,1)",Vial(Treat*Line),0.03012
"UN(2,2)",Vial(Treat*Line),0
"UN(3,1)",Vial(Treat*Line),-0.01872
"UN(3,2)",Vial(Treat*Line),-0.00969
"UN(3,3)",Vial(Treat*Line),0.06449
"UN(4,1)",Vial(Treat*Line),-0.03831
"UN(4,2)",Vial(Treat*Line),-0.03155
"UN(4,3)",Vial(Treat*Line),-0.03806
"UN(4,4)",Vial(Treat*Line),0.03531
"UN(5,1)",Vial(Treat*Line),0.02088
"UN(5,2)",Vial(Treat*Line),-0.00336
"UN(5,3)",Vial(Treat*Line),-0.03288
"UN(5,4)",Vial(Treat*Line),-0.02259
"UN(5,5)",Vial(Treat*Line),0
"UN(6,1)",Vial(Treat*Line),-0.02136
"UN(6,2)",Vial(Treat*Line),0.05809
"UN(6,3)",Vial(Treat*Line),-0.08932
"UN(6,4)",Vial(Treat*Line),0.04203
"UN(6,5)",Vial(Treat*Line),0.02945
"UN(6,6)",Vial(Treat*Line),0.08866
"UN(1,1)",Anim(Trea*Line*Vial),0.4356
"UN(2,1)",Anim(Trea*Line*Vial),0.09455
"UN(2,2)",Anim(Trea*Line*Vial),0.6829
"UN(3,1)",Anim(Trea*Line*Vial),0.01435
"UN(3,2)",Anim(Trea*Line*Vial),0.02150
"UN(3,3)",Anim(Trea*Line*Vial),0.7602
"UN(4,1)",Anim(Trea*Line*Vial),0.07222
"UN(4,2)",Anim(Trea*Line*Vial),0.08303
"UN(4,3)",Anim(Trea*Line*Vial),-0.1688
"UN(4,4)",Anim(Trea*Line*Vial),0.6793
"UN(5,1)",Anim(Trea*Line*Vial),0.1086
"UN(5,2)",Anim(Trea*Line*Vial),0.4118
"UN(5,3)",Anim(Trea*Line*Vial),-0.1640
"UN(5,4)",Anim(Trea*Line*Vial),0.1515
"UN(5,5)",Anim(Trea*Line*Vial),0.6723
"UN(6,1)",Anim(Trea*Line*Vial),-0.06209
"UN(6,2)",Anim(Trea*Line*Vial),-0.1889
"UN(6,3)",Anim(Trea*Line*Vial),-0.2066
"UN(6,4)",Anim(Trea*Line*Vial),-0.04216
"UN(6,5)",Anim(Trea*Line*Vial),-0.09491
"UN(6,6)",Anim(Trea*Line*Vial),0.7432
