Row,CovParm,CovP1,CovP2,CovP3,CovP4,CovP5,CovP6,CovP7,CovP8,CovP9,CovP10,CovP11,CovP12,CovP13,CovP14,CovP15,CovP16,CovP17,CovP18,CovP19,CovP20,CovP21,CovP22,CovP23,CovP24,CovP25,CovP26,CovP27,CovP28,CovP29,CovP30,CovP31,CovP32,CovP33,CovP34,CovP35,CovP36,CovP37,CovP38,CovP39,CovP40,CovP41,CovP42,CovP43,CovP44,CovP45,CovP46,CovP47,CovP48,CovP49,CovP50,CovP51,CovP52,CovP53,CovP54,CovP55,CovP56,CovP57,CovP58,CovP59,CovP60,CovP61,CovP62,CovP63
1,"UN(1,1)",0.006529,0.002387,0.000873,-0.00052,-0.00019,0.000089,0.000155,0.000057,-0.00002,5.617E-6,0.003184,0.001164,-0.00026,0.000077,0.001553,-0.00136,-0.00049,0.000066,-0.00002,-0.00066,0.000319,-0.00364,-0.00129,-0.00046,-0.00021,-0.00008,-0.00001,0.000014,5.01E-6,8.288E-7,-4.93E-8,-0.00173,-0.00062,-0.00010,6.692E-6,-0.00082,0.001192,0.000424,0.000070,-4.61E-6,0.000567,-0.00039,-2.63E-8,-1.55E-8,-7.09E-9,1.636E-8,4.936E-9,6.5E-10,-1.52E-8,-5.91E-9,2.369E-9,-4.17E-9,-1.76E-8,-7.96E-9,5.406E-9,-6.55E-9,-8.95E-9,-2.56E-9,7.43E-10,-3.59E-9,1.909E-9,9.52E-10,2.216E-9
2,"UN(2,1)",0.002387,0.002066,0.001194,0.000475,0.000063,-0.00013,0.000524,0.000225,-0.00004,0.000032,0.001853,0.001262,0.000172,0.000275,0.001241,-0.00126,-0.00070,-7.72E-6,-0.00011,-0.00076,0.000400,-0.00129,-0.00095,-0.00051,-0.00015,-0.00008,-0.00001,-0.00005,-0.00001,-2.35E-6,3.694E-7,-0.00094,-0.00057,-0.00009,-0.00002,-0.00060,0.000636,0.000386,0.000063,0.000014,0.000407,-0.00028,-1.54E-8,-3.68E-8,-2.89E-8,5.61E-11,7.814E-9,-525E-13,-1.55E-8,-1.55E-8,8.06E-11,-4.85E-9,-2.44E-8,-2.52E-8,4.984E-9,-1.2E-8,-2.04E-8,2.802E-9,4.233E-9,-1.51E-9,4.074E-9,3.202E-9,9.68E-10
3,"UN(2,2)",0.000873,0.001194,0.001655,0.000420,0.000599,0.000231,0.000365,0.000528,0.000209,0.000190,0.000930,0.001281,0.000457,0.000400,0.000995,-0.00075,-0.00104,-0.00038,-0.00033,-0.00080,0.000650,-0.00046,-0.00051,-0.00057,-0.00008,-0.00009,-0.00001,-0.00003,-0.00004,-6.06E-6,-2.48E-6,-0.00045,-0.00050,-0.00008,-0.00003,-0.00043,0.000301,0.000335,0.000054,0.000022,0.000293,-0.00020,-7.07E-9,-2.84E-8,-1.12E-7,-1.56E-9,-5.79E-9,5.81E-11,-8.51E-9,-3.02E-8,-621E-12,-4.19E-9,-1.79E-8,-7.11E-8,-3.88E-9,-2E-8,-4.5E-8,3.272E-9,1.482E-8,1.099E-9,6.054E-9,9.01E-9,-75E-11
4,"UN(3,1)",-0.00052,0.000475,0.000420,0.001961,0.000638,-0.00037,0.000574,0.000231,8.392E-6,0.000027,-0.00009,0.000296,0.000930,0.000287,0.000043,-0.00136,-0.00061,-0.00023,-0.00016,-0.00069,0.000525,-0.00021,-0.00015,-0.00008,-0.00072,-0.00026,-0.00008,-0.00035,-0.00012,-0.00002,2.717E-6,-0.00003,-0.00005,-0.00034,-0.00017,0.000019,0.000493,0.000201,0.000261,0.000114,0.000211,-0.00030,1.626E-8,-264E-13,-1.48E-9,-2.79E-8,-1.23E-8,1.461E-8,2.045E-8,5.928E-9,-9.92E-9,6.921E-9,6.949E-9,1.401E-9,-1.56E-8,8.936E-9,4.957E-9,1.441E-8,6.903E-9,-649E-12,8.65E-10,7.191E-9,-3.83E-9
5,"UN(3,2)",-0.00019,0.000063,0.000599,0.000638,0.001098,0.000725,0.000153,0.000395,0.000422,0.000173,-0.00009,0.000253,0.000768,0.000238,0.000036,-0.00042,-0.00091,-0.00088,-0.00042,-0.00057,0.000900,-0.00008,-0.00008,-0.00009,-0.00026,-0.00029,-0.00009,-0.00013,-0.00014,-0.00004,-0.00002,-0.00003,-0.00003,-0.00025,-0.00012,0.000014,0.000188,0.000208,0.000196,0.000094,0.000153,-0.00021,4.937E-9,7.597E-9,-6.3E-9,-1.21E-8,-4.77E-8,-4.84E-9,6.771E-9,2.166E-8,-1.25E-8,5.015E-9,7.82E-9,6.486E-9,-2.97E-8,1.757E-8,1.069E-8,4.4E-9,2.519E-8,7.21E-9,9.69E-10,1.496E-8,-7.32E-9
6,"UN(3,3)",0.000089,-0.00013,0.000231,-0.00037,0.000725,0.002344,-0.00009,0.000201,0.000680,0.000210,-0.00002,0.000022,0.000062,0.000015,2.594E-6,0.000281,-0.00053,-0.00171,-0.00049,-0.00005,0.001257,-0.00001,-0.00001,-0.00001,-0.00008,-0.00009,-0.00056,-0.00004,-0.00004,-0.00028,-0.00014,2.373E-6,2.571E-6,0.000016,7.798E-6,-4.36E-7,0.000054,0.000058,0.000360,0.000177,-0.00001,-0.00023,6.4E-10,4.02E-12,2.56E-10,1.436E-8,-5.21E-9,-8.16E-8,-555E-12,9.93E-10,3.779E-8,-5.51E-9,-3.61E-9,1.508E-9,1.479E-8,-8.56E-9,-2.17E-9,-5.65E-9,1.935E-9,4.201E-8,-1.63E-8,-8.32E-9,-2.06E-8
7,"UN(4,1)",0.000155,0.000524,0.000365,0.000574,0.000153,-0.00009,0.001681,0.000630,-0.00012,0.000080,0.000418,0.000383,0.000240,0.000830,0.000373,-0.00065,-0.00032,-0.00007,-0.00036,-0.00038,0.000262,0.000014,-0.00005,-0.00003,-0.00035,-0.00013,-0.00004,-0.00092,-0.00033,-0.00005,7.146E-6,-0.00005,-0.00004,-0.00017,-0.00044,-0.00005,0.000325,0.000132,0.000135,0.000300,0.000173,-0.00021,-1.51E-8,-1.57E-8,-8.52E-9,2.046E-8,6.849E-9,-68E-11,-3.22E-8,-1.61E-8,1.239E-8,-2.19E-8,-1.82E-8,-1.01E-8,8.495E-9,-1.87E-8,-1.2E-8,-5.63E-9,6.96E-10,-4.92E-9,1.479E-9,5.27E-10,3.816E-9
8,"UN(4,2)",0.000057,0.000225,0.000528,0.000231,0.000395,0.000201,0.000630,0.000934,0.000381,0.000512,0.000172,0.000401,0.000306,0.000725,0.000305,-0.00026,-0.00049,-0.00030,-0.00062,-0.00038,0.000403,5.009E-6,-0.00001,-0.00004,-0.00012,-0.00014,-0.00004,-0.00033,-0.00037,-0.00007,-0.00005,-0.00002,-0.00004,-0.00013,-0.00032,-0.00004,0.000115,0.000141,0.000103,0.000223,0.000126,-0.00015,-5.83E-9,-1.52E-8,-3.12E-8,5.833E-9,2.17E-8,8.24E-10,-1.58E-8,-5.54E-8,-443E-12,-3.07E-8,-1.25E-8,-3.04E-8,1.406E-8,-3.74E-8,-2.62E-8,1.38E-10,-1.56E-9,-4.52E-9,7.458E-9,1.42E-10,3.474E-9
9,"UN(4,3)",-0.00002,-0.00004,0.000209,8.392E-6,0.000422,0.000680,-0.00012,0.000381,0.001092,0.000602,-0.00004,0.000089,0.000251,0.000089,0.000015,0.000015,-0.00035,-0.00063,-0.00083,-0.00019,0.000553,8.288E-7,-2.35E-6,-6.06E-6,-0.00002,-0.00004,-0.00028,-0.00005,-0.00007,-0.00043,-0.00036,-3.29E-6,-2.96E-6,-0.00002,-3.85E-7,1.199E-6,0.000018,0.000033,0.000217,0.000295,0.000010,-0.00016,2.324E-9,-122E-13,-432E-12,-9.69E-9,-1.28E-8,3.77E-8,1.217E-8,-481E-12,-4.83E-8,4.506E-8,3.291E-9,2.46E-9,-2.14E-8,1.295E-8,7.253E-9,3.426E-9,5.925E-9,-1.21E-8,2.212E-8,9.174E-9,2.141E-9
10,"UN(4,4)",5.617E-6,0.000032,0.000190,0.000027,0.000173,0.000210,0.000080,0.000512,0.000602,0.001725,0.000024,0.000142,0.000133,0.000392,0.000107,-0.00003,-0.00020,-0.00023,-0.00066,-0.00015,0.000253,-4.95E-8,3.695E-7,-2.48E-6,2.717E-6,-0.00002,-0.00014,7.145E-6,-0.00005,-0.00036,-0.00093,4.277E-7,-2.85E-6,-0.00002,-0.00006,-3.26E-6,-2.53E-6,0.000017,0.000127,0.000331,0.000020,-0.00012,-4.02E-9,-5E-9,-4.18E-9,6.723E-9,5.379E-9,-5.42E-9,-2.15E-8,-3.15E-8,4.496E-8,-1.01E-7,-6.93E-9,-7.49E-9,9.922E-9,-3.97E-8,-1.13E-8,-631E-12,1.699E-9,-3.68E-9,-1.07E-8,3.14E-10,3.744E-9
