Row,CovParm,CovP1,CovP2,CovP3,CovP4,CovP5,CovP6,CovP7,CovP8,CovP9,CovP10,CovP11,CovP12,CovP13,CovP14,CovP15,CovP16,CovP17,CovP18,CovP19,CovP20,CovP21,CovP22,CovP23,CovP24,CovP25,CovP26,CovP27,CovP28,CovP29,CovP30,CovP31,CovP32,CovP33,CovP34,CovP35,CovP36,CovP37,CovP38,CovP39,CovP40,CovP41,CovP42,CovP43,CovP44,CovP45,CovP46,CovP47,CovP48,CovP49,CovP50,CovP51,CovP52,CovP53,CovP54,CovP55,CovP56,CovP57,CovP58,CovP59,CovP60,CovP61,CovP62,CovP63
1,"UN(1,1)",0.002514,0.000406,0.000038,-0.00010,-0.00002,9.245E-6,0.000310,0.000041,-0.00001,0.000085,0.000356,0.000037,-0.00001,0.000034,0.000030,-0.00080,-0.00013,0.000032,-0.00012,-0.00012,0.000253,-0.00103,-0.00024,0,0.000016,-1.31E-6,-6.01E-6,0.000178,0.000039,-0.00001,-6.76E-6,-0.00020,-6.13E-6,-7.82E-6,0.000039,0,0.000253,0.000064,-2.53E-6,-0.00003,0.000056,-0.00005,-0.00005,2.821E-6,-0.00003,4.29E-8,3.538E-6,1.998E-7,-1.69E-6,-2.88E-6,1.445E-7,4.472E-6,-6.71E-6,-0.00002,4.026E-6,-2.61E-6,-0.00002,-3.44E-6,4.636E-6,1.483E-8,6.806E-7,3.826E-6,1.202E-7
2,"UN(2,1)",0.000406,0.001005,0.000208,0.000317,0.000020,-0.00003,-0.00007,0.000107,0.000074,-0.00003,0.000610,0.000158,0.000029,0.000058,0.000110,-0.00049,-0.00040,-0.00010,-0.00006,-0.00026,0.000305,-0.00023,-0.00037,0,6.19E-6,-0.00002,-4.03E-7,0.000062,0.000080,-6.87E-6,2.435E-6,-0.00023,-9.07E-6,-0.00002,0.000055,0,1.346E-6,0.000130,0.000014,-0.00001,0.000077,-5.61E-6,-7.32E-6,-0.00002,-0.00007,2.884E-6,-7.32E-8,-1.45E-6,-3.94E-6,-6.55E-6,2.132E-6,-4.03E-6,-8.56E-6,-0.00005,1.818E-6,-6.72E-6,-0.00004,9.481E-6,0.000013,1.112E-7,-6.36E-7,7.534E-6,-7.39E-6
3,"UN(2,2)",0.000038,0.000208,0.001187,0.000101,0.000523,0.000232,-0.00003,-0.00013,-0.00005,6.678E-6,0.000122,0.000710,0.000312,-0.00008,0.000424,-0.00013,-0.00069,-0.00029,0.000070,-0.00041,0.000380,0.000011,0.000037,0,-5.42E-6,-0.00003,-3.01E-6,9.706E-6,0.000034,-9.49E-7,0.000011,0.000024,-3.64E-7,-0.00002,0.000021,0,-7.23E-6,0.000013,8.542E-6,-0.00001,8.451E-6,-2.02E-6,-7.81E-6,-0.00004,-0.00024,5.49E-8,4.898E-6,4.728E-7,-6.79E-6,-0.00004,1.157E-6,-9.82E-6,-0.00003,-0.00014,3.511E-6,-0.00003,-0.00009,0.000015,0.000080,-1.56E-6,0.000014,0.000049,-0.00003
4,"UN(3,1)",-0.00010,0.000317,0.000101,0.001844,0.000268,-0.00013,0.000098,0.000085,0.000245,0.000119,-0.00021,0.000023,0.000248,8.454E-6,-0.00003,-0.00117,-0.00031,-0.00055,-0.00023,-0.00011,0.000764,0.000042,5.948E-7,0,-0.00060,-0.00014,-0.00002,0.000181,0.000040,0.000112,-0.00007,0.000153,0.000011,-0.00010,-2E-6,0,0.000373,0.000096,0.000151,-0.00010,0.000039,-0.00017,5.559E-6,0.000019,7.361E-6,-0.00003,7.327E-6,2.086E-6,0.000015,5.441E-6,-6.9E-7,8.5E-6,0.000026,0.000019,-4.18E-6,0.000011,0.000039,-6.12E-6,-6.34E-6,-4.33E-6,-1.55E-6,-6.14E-6,8.552E-6
5,"UN(3,2)",-0.00002,0.000020,0.000523,0.000268,0.001552,0.001039,0.000022,0.000088,-0.00006,-0.00002,-0.00004,0.000029,0.000807,0.000084,-0.00012,-0.00018,-0.00112,-0.00101,-0.00002,-0.00054,0.000879,9.606E-6,6.152E-6,0,-0.00012,-0.00044,-0.00003,0.000035,0.000126,0.000054,-0.00003,9.35E-6,0.000055,-0.00023,0.000055,0,0.000108,0.000333,-0.00003,-0.00001,0.000220,0.000026,2.41E-6,9.053E-6,0.000038,-5.54E-6,9.059E-7,0.000018,4.209E-6,0.000021,-9.18E-6,8.352E-6,0.000016,0.000060,-8.79E-6,0.000023,0.000089,-4.46E-6,-0.00002,5.22E-6,-7.63E-6,-0.00003,3.969E-6
6,"UN(3,3)",9.245E-6,-0.00003,0.000232,-0.00013,0.001039,0.005457,-0.00002,0.000148,0.000429,0.000161,6.773E-7,-0.00009,-0.00055,0.000015,0.000042,0.000107,-0.00068,-0.00356,-0.00029,0.000366,0.002310,-1.61E-7,4.382E-6,0,0.000019,-0.00005,-0.00138,-0.00001,3.083E-6,0.000427,-0.00014,0.000013,0.000046,0.000307,-0.00012,0,-0.00004,-1.82E-6,0.000888,-0.00026,-0.00024,-0.00053,-1.71E-6,-1.92E-6,1.476E-6,0.000010,0.000067,-0.00005,-2.59E-6,-0.00001,0.000046,-0.00002,-8.37E-6,-0.00003,0.000077,-0.00003,-0.00007,-1.15E-6,-0.00002,-0.00003,-3.65E-6,-1.62E-6,0.000026
7,"UN(4,1)",0.000310,-0.00007,-0.00003,0.000098,0.000022,-0.00002,0.000796,0.000106,0.000038,0.000120,-0.00003,-0.00002,0.000022,0.000084,-0.00002,-0.00032,-0.00001,-0.00004,-0.00031,-0.00002,0.000196,0.000096,0.000041,0,0.000159,0.000032,-6.49E-6,-0.00045,-0.00012,-0.00004,0.000187,-0.00002,-2.52E-6,0.000021,-0.00008,0,-0.00008,-0.00002,-0.00003,0.000132,-2.4E-6,0.000019,0.000015,7.71E-6,0.000013,0.000011,1.696E-6,-1.29E-6,-2.92E-6,0.000012,5.825E-6,-1.43E-6,6.996E-6,7.578E-6,5.017E-6,3.679E-6,5.595E-7,8.333E-7,-5.22E-6,1.314E-6,-0.00001,-4.78E-6,-9.86E-7
8,"UN(4,2)",0.000041,0.000107,-0.00013,0.000085,0.000088,0.000148,0.000106,0.000551,0.000164,-0.00011,0.000060,-0.00009,0.000050,0.000331,-0.00007,-0.00012,-0.00017,-0.00021,-0.00019,-0.00009,0.000274,0.000026,0.000028,0,0.000031,0.000102,-1.58E-7,-0.00011,-0.00034,-0.00002,0.000092,0.000017,-0.00002,0.000047,-0.00020,0,-0.00001,-0.00005,0.000026,-0.00003,-0.00003,-0.00002,2.09E-6,0.000015,0.000034,3.569E-6,0.000013,-3.06E-6,3.644E-7,0.000025,0.000010,-8.92E-6,6.813E-6,0.000017,0.000012,0.000013,-6.01E-7,-3.74E-6,-7.2E-6,-4.97E-6,-1.86E-6,-2.94E-6,-3.5E-7
9,"UN(4,3)",-0.00001,0.000074,-0.00005,0.000245,-0.00006,0.000429,0.000038,0.000164,0.001133,0.000075,-6.86E-8,-0.00001,-0.00008,-0.00015,7.908E-6,-0.00017,-0.00002,-0.00057,-0.00079,0.000071,0.000568,-0.00001,-7.31E-6,0,0.000039,0.000032,0.000364,-5.09E-6,-0.00002,-0.00058,0.000324,-0.00002,-0.00002,-0.00009,0.000141,0,-0.00002,-0.00001,-0.00020,0.000362,0.000055,0.000094,1.911E-6,3.724E-6,2.341E-6,0.000014,1.621E-6,0.000032,3.236E-6,0.000024,-2.44E-6,0.000029,1.944E-6,7.573E-6,8.243E-7,0.000024,0.000011,-6.05E-6,-3.99E-6,1.501E-6,-0.00002,-8.47E-6,1.049E-7
10,"UN(4,4)",0.000085,-0.00003,6.678E-6,0.000119,-0.00002,0.000161,0.000120,-0.00011,0.000075,0.000842,-0.00004,3.104E-6,-0.00004,-0.00006,6.577E-6,-0.00013,0.000040,-0.00017,-0.00023,0.000050,0.000206,-0.00002,-0.00001,0,-0.00004,-0.00003,-0.00011,0.000081,0.000054,0.000273,-0.00075,5.296E-7,5.907E-6,6.549E-6,-0.00004,0,0.000024,0.000017,0.000058,-0.00012,-3.49E-7,-0.00003,4.328E-6,2.539E-6,-1.75E-6,-1.92E-6,4.943E-7,-0.00001,0.000023,0.000011,0.000019,0.000034,5.548E-6,4.947E-7,3.047E-6,0.000016,3.007E-6,-1.62E-6,-5.21E-7,-7E-7,-7.27E-7,-1.4E-6,-1.15E-6
