Row,CovParm,CovP1,CovP2,CovP3,CovP4,CovP5,CovP6,CovP7,CovP8,CovP9,CovP10,CovP11,CovP12,CovP13,CovP14,CovP15,CovP16,CovP17,CovP18,CovP19,CovP20,CovP21,CovP22,CovP23,CovP24,CovP25,CovP26,CovP27,CovP28,CovP29,CovP30,CovP31,CovP32,CovP33,CovP34,CovP35,CovP36,CovP37,CovP38,CovP39,CovP40,CovP41,CovP42,CovP43,CovP44,CovP45,CovP46,CovP47,CovP48,CovP49,CovP50,CovP51,CovP52,CovP53,CovP54,CovP55,CovP56,CovP57,CovP58,CovP59,CovP60,CovP61,CovP62,CovP63
1,"UN(1,1)",0.002253,0.000123,0.000030,-0.00032,0.000022,0.000105,-0.00028,0.000024,0.000102,0.000063,0.000169,0.000016,-8.51E-6,-0.00002,0.000011,-0.00025,-0.00003,3.576E-7,0.000012,-0.00002,0.000042,-0.00035,-0.00013,-0.00004,-0.00015,-0.00005,-0.00006,-0.00016,-0.00005,-0.00007,0,-0.00006,-0.00002,-0.00003,-0.00001,0,0.000137,0.000046,0.000062,0.000034,0.000018,-0.00005,-4.59E-6,4.221E-6,7.001E-7,0.000010,3.571E-6,1.846E-6,0.000013,3.464E-6,7.23E-6,-0.00002,-8.02E-6,-3.83E-6,2.281E-6,-4.07E-6,-8.19E-6,3.008E-7,-4.3E-7,-2.88E-6,2.949E-6,3.051E-6,5.369E-8
2,"UN(2,1)",0.000123,0.000710,0.000138,0.000188,-0.00003,-0.00008,0.000079,-0.00002,-0.00004,-0.00003,0.000400,0.000085,-6.74E-6,-0.00002,0.000045,-0.00038,-0.00013,0.000026,0.000031,-0.00008,0.000092,-0.00010,-0.00031,-0.00017,0.000013,-0.00013,0.000050,-0.00003,-0.00013,-1.33E-6,0,-0.00017,-0.00007,-0.00009,-0.00006,0,0.000102,0.000130,0.000024,0.000036,0.000061,-0.00006,-0.00001,7.839E-6,2.275E-6,5.961E-6,0.000017,2.352E-6,-7.83E-7,0.000011,4.675E-6,-1.72E-6,2.307E-6,-0.00002,0.000014,1.846E-6,-0.00003,-3.86E-6,-9.55E-7,-4.58E-6,-3.13E-6,5.144E-6,7.771E-7
3,"UN(2,2)",0.000030,0.000138,0.001006,0.000017,0.000236,0.000053,-3.02E-6,0.000033,0.000049,8.482E-6,0.000057,0.000478,0.000171,-7.6E-6,0.000170,-0.00005,-0.00046,-0.00013,-0.00003,-0.00023,0.000242,-0.00003,-0.00013,-0.00078,4.223E-6,-7.84E-6,0.000023,1.092E-6,0.000043,-0.00004,0,-0.00005,-0.00032,-0.00008,0.000085,0,0.000038,0.000208,0.000025,-0.00001,0.000056,-0.00006,-5.76E-6,-0.00002,0.000017,1.5E-6,0.000048,-6.81E-7,-2.47E-6,-0.00003,9.705E-6,-1.15E-6,-0.00002,-0.00005,0.000053,-0.00004,-0.00013,4.853E-6,-0.00001,-0.00002,6.03E-6,0.000013,4.546E-6
4,"UN(3,1)",-0.00032,0.000188,0.000017,0.001614,0.000063,-0.00036,0.000140,-0.00003,-0.00019,-0.00005,-0.00025,-0.00001,0.000113,6.263E-6,-0.00003,-0.00083,-0.00006,-0.00008,0.000090,-0.00002,0.000198,-0.00016,-0.00002,-0.00002,-0.00036,-0.00009,-0.00029,1.702E-7,5.506E-6,-0.00014,0,0.000111,0.000016,0.000021,0.000045,0,0.000160,0.000043,0.000180,0.000062,-0.00002,-0.00011,6.966E-6,0.000026,0.000025,2.135E-6,6.858E-6,0.000019,-6.8E-7,9.901E-6,0.000010,7.903E-6,0.000017,0.000022,-0.00001,9.084E-6,0.000033,-3.93E-6,-8.75E-6,-3.61E-6,-8.93E-6,-5.31E-6,2.845E-6
5,"UN(3,2)",0.000022,-0.00003,0.000236,0.000063,0.001039,0.000483,-0.00002,0.000054,0.000085,0.000016,-0.00005,-0.00009,0.000499,0.000041,-0.00012,-0.00001,-0.00059,-0.00063,-0.00007,-0.00023,0.000553,-0.00005,-0.00014,-0.00010,-0.00006,-0.00049,0.000085,2.892E-6,0.000016,0.000026,0,-0.00006,0.000051,-0.00023,-0.00003,0,0.000079,0.000260,0.000094,-2.54E-7,0.000130,-0.00014,1.511E-6,0.000017,0.000131,-0.00001,0.000016,0.000028,3.486E-6,8.102E-6,-0.00001,2.235E-6,0.000023,0.000115,-0.00001,0.000026,0.000137,-1.2E-6,-0.00004,-0.00001,-1.75E-6,-0.00003,0.000014
6,"UN(3,3)",0.000105,-0.00008,0.000053,-0.00036,0.000483,0.004401,-0.00007,0.000018,0.000209,0.000028,-0.00001,-0.00010,-0.00072,-0.00003,0.000096,0.000223,-0.00024,-0.00233,-0.00011,0.000398,0.001228,-0.00006,0.000043,4.218E-6,-0.00031,-0.00001,-0.00119,0.000038,0.000062,0.000119,0,0.000144,0.000086,0.000398,0.000018,0,0.000104,-0.00005,0.000507,-0.00008,-0.00025,-0.00017,4.008E-7,2.232E-6,-0.00001,0.000014,0.000098,0.000019,-3.84E-6,-0.00003,-0.00001,-1.55E-6,-8.18E-6,-0.00008,0.000068,-0.00003,-0.00013,-2.92E-6,-0.00002,-0.00002,0.000014,3.368E-6,4.471E-6
7,"UN(4,1)",-0.00028,0.000079,-3.02E-6,0.000140,-0.00002,-0.00007,0.001207,0.000097,-0.00011,-0.00032,0.000198,0.000023,-1.95E-6,0.000055,0.000022,-0.00025,-0.00003,8.847E-6,-0.00010,-0.00004,0.000063,-0.00016,-0.00004,-1.65E-6,-0.00002,-2.54E-6,0.000020,-0.00038,-0.00014,-0.00019,0,-0.00009,-0.00002,-0.00005,-0.00003,0,0.000159,0.000050,0.000061,0.000089,0.000032,-0.00007,0.000011,6.182E-6,6.487E-7,9.403E-6,3.748E-6,6.962E-7,-0.00001,2.969E-6,0.000019,-0.00011,-8.43E-7,-1.55E-6,6.636E-6,-0.00003,-0.00001,-7.28E-7,-1.45E-6,-5.5E-6,0.000024,6.559E-6,-4.41E-6
8,"UN(4,2)",0.000024,-0.00002,0.000033,-0.00003,0.000054,0.000018,0.000097,0.000877,0.000192,0.000106,-5.09E-6,0.000129,0.000079,0.000466,0.000098,2.895E-6,-0.00023,-0.00006,-0.00042,-0.00018,0.000188,-0.00005,-0.00014,0.000024,4.837E-6,-0.00004,0.000029,-0.00011,-0.00066,0.000048,0,-0.00009,-0.00005,-0.00005,-0.00034,0,0.000078,0.000232,-0.00002,0.000185,0.000144,-0.00013,-5.83E-7,0.000012,-0.00001,7.782E-6,0.000022,-3.47E-6,-0.00002,0.000016,0.000019,-0.00001,-8.69E-7,-0.00003,0.000026,-3.89E-6,-0.00006,-1.24E-6,-5.83E-6,-8.04E-6,-8.73E-6,2.956E-6,5.106E-6
9,"UN(4,3)",0.000102,-0.00004,0.000049,-0.00019,0.000085,0.000209,-0.00011,0.000192,0.001744,0.000192,-6.7E-6,0.000055,0.000285,-0.00030,-0.00007,0.000099,-0.00009,-0.00045,-0.00093,-0.00009,0.000416,-0.00007,-0.00001,-0.00005,-0.00014,0.000017,0.000019,-0.00020,-0.00003,-0.00074,0,1.841E-6,-0.00007,-0.00011,0.000239,0,0.000141,0.000017,0.000257,0.000343,-6.14E-6,-0.00025,4.969E-6,0.000012,0.000022,0.000011,-3.57E-6,0.000024,0.000015,0.000069,3.839E-6,0.000038,9.123E-6,0.000042,-0.00002,0.000059,0.000068,-0.00001,-0.00002,-7.92E-6,-0.00002,-0.00002,0.000012
10,"UN(4,4)",0.000063,-0.00003,8.482E-6,-0.00005,0.000016,0.000028,-0.00032,0.000106,0.000192,0.001968,-0.00005,0.000019,0.000034,0.000312,0.000051,0.000070,-0.00002,-0.00003,-0.00040,-0.00007,0.000071,-0.00002,2.127E-6,5.517E-7,3.108E-6,2.63E-6,6.686E-6,-0.00007,8.554E-6,-0.00003,0,-0.00001,-1.34E-6,-6.34E-6,9.9E-6,0,0.000022,-5.37E-6,-1.17E-6,0.000051,0.000011,-0.00002,-1.99E-6,5.435E-7,1.845E-7,4.357E-6,-6.17E-7,-4.84E-6,-0.00004,-1.5E-6,0.000054,-0.00064,-7.7E-6,6.842E-7,9.365E-6,-0.00011,-0.00002,7.016E-6,-7.85E-7,-9.87E-6,0.000114,0.000019,-0.00002
