Row,CovParm,CovP1,CovP2,CovP3,CovP4,CovP5,CovP6,CovP7,CovP8,CovP9,CovP10,CovP11,CovP12,CovP13,CovP14,CovP15,CovP16,CovP17,CovP18,CovP19,CovP20,CovP21,CovP22,CovP23,CovP24,CovP25,CovP26,CovP27,CovP28,CovP29,CovP30,CovP31,CovP32,CovP33,CovP34,CovP35,CovP36,CovP37,CovP38,CovP39,CovP40,CovP41,CovP42,CovP43,CovP44,CovP45,CovP46,CovP47,CovP48,CovP49,CovP50,CovP51,CovP52,CovP53,CovP54,CovP55,CovP56,CovP57,CovP58,CovP59,CovP60,CovP61,CovP62,CovP63
1,"UN(1,1)",0.002225,0.000655,0.000194,-0.00013,-0.00003,0.000016,0.000128,0.000035,-0.00001,0.000013,0.000671,0.000199,-0.00004,0.000037,0.000203,-0.00019,-0.00007,-9.03E-6,4.817E-6,-0.00006,0.000061,-0.00080,-0.00028,-0.00010,-0.00006,-0.00002,-5.17E-6,0.000041,0.000014,3.322E-6,-2.12E-6,-0.00027,-0.00009,-0.00002,0.000014,-0.00009,0.000310,0.000108,0.000025,-0.00002,0.000105,-0.00012,-2.89E-7,-1.38E-7,-6.5E-8,5.011E-9,4.91E-10,4.204E-9,-9.25E-8,-4.1E-8,-5.42E-9,-1.83E-8,-1.37E-7,-6.4E-8,-311E-12,-3.94E-8,-6.29E-8,-3.85E-8,-1.27E-8,-1.3E-8,8.915E-9,-1.01E-8,3.619E-8
2,"UN(2,1)",0.000655,0.001314,0.000712,0.000062,-0.00005,-0.00002,-0.00030,-0.00002,0.000030,-0.00004,0.000934,0.000609,-0.00003,-0.00004,0.000501,-0.00045,-0.00021,0.000035,-8.7E-6,-0.00019,0.000044,-0.00028,-0.00042,-0.00026,0.000024,-0.00002,5.581E-6,0.000082,0.000045,4.186E-6,-7.72E-6,-0.00028,-0.00021,-7.32E-6,0.000038,-0.00016,0.000125,0.000167,-7.74E-6,-0.00003,0.000116,-0.00006,-1.1E-7,-2.6E-7,-2.22E-7,-2.01E-8,-7.52E-9,-2.41E-9,-3.15E-9,-6.6E-8,-3.73E-9,5.58E-9,-1.78E-7,-1.82E-7,-8.18E-9,-4.06E-8,-1.42E-7,5.443E-8,1.919E-9,1.582E-9,1.505E-8,1.157E-8,7.067E-9
3,"UN(2,2)",0.000194,0.000712,0.002678,0.000042,0.000187,0.000023,-0.00019,-0.00071,-0.00005,0.000192,0.000487,0.001840,0.000131,-0.00049,0.001265,-0.00024,-0.00093,-0.00007,0.000252,-0.00064,0.000332,-0.00010,-0.00026,-0.00067,0.000024,0.000064,-6.02E-6,0.000052,0.000137,-0.00001,-0.00003,-0.00017,-0.00044,0.000041,0.000088,-0.00028,0.000050,0.000130,-0.00001,-0.00003,0.000084,-0.00003,-4.18E-8,-1.8E-7,-7.59E-7,-1.83E-8,-7.33E-8,-7.91E-9,1.314E-8,5.104E-8,2.901E-9,2.208E-9,-1.17E-7,-4.91E-7,-4.74E-8,3.259E-8,-3.18E-7,5.098E-8,2.103E-7,2.007E-8,-1.07E-8,1.36E-7,-5.68E-8
4,"UN(3,1)",-0.00013,0.000062,0.000042,0.001129,0.000316,-0.00015,0.000119,0.000045,0.000062,0.000020,0.000036,0.000033,0.000320,0.000050,0.000026,-0.00059,-0.00017,-0.00004,-0.00004,-0.00015,0.000077,-0.00006,0.000024,0.000024,-0.00029,-0.00010,-0.00005,-2.7E-6,-3.31E-6,0.000015,4.581E-7,0.000115,0.000056,-0.00009,-8.01E-6,0.000086,0.000153,0.000035,0.000122,-5.59E-6,-1.39E-6,-0.00011,-1.77E-8,-3.83E-8,-3.02E-8,-2.21E-7,-1.08E-7,4.865E-9,-3.08E-8,-1.79E-8,-7.39E-8,-4.65E-9,-1.17E-8,-1.53E-8,-1.12E-7,-2.47E-9,1.104E-9,7.41E-8,4.079E-8,-2.85E-8,3.327E-8,5.613E-8,1.786E-8
5,"UN(3,2)",-0.00003,-0.00005,0.000187,0.000316,0.001250,0.000182,0.000057,0.000116,-0.00032,-0.00008,-0.00004,0.000140,0.000870,0.000074,0.000108,-0.00014,-0.00068,-0.00048,0.000121,-0.00048,0.000455,-0.00002,-0.00002,0.000064,-0.00010,-0.00027,0.000050,4.451E-6,-0.00001,0.000054,1.661E-6,0.000025,0.000136,-0.00018,-0.00003,0.000150,0.000055,0.000122,0.000039,-0.00003,0.000061,-0.00005,-6.3E-9,-2.89E-8,-1.1E-7,-8.81E-8,-3.67E-7,-7.23E-8,-9.81E-9,-4.01E-8,2.313E-8,-1.64E-9,-1.49E-8,-4.59E-8,-2.33E-7,-3.25E-8,-1.27E-8,3.501E-8,1.405E-7,1.136E-7,4.2E-10,8.046E-8,-6.98E-8
6,"UN(3,3)",0.000016,-0.00002,0.000023,-0.00015,0.000182,0.002298,-0.00002,0.000026,0.000269,0.000034,-0.00003,0.000036,0.000159,0.000030,0.000070,0.000077,-0.00010,-0.00120,-0.00014,-0.00009,0.000629,-5.16E-6,5.58E-6,-6.03E-6,-0.00005,0.000050,-0.00041,-6.87E-7,7.62E-7,-6.18E-6,-1.15E-7,0.000020,-0.00002,0.000181,2.704E-6,-0.00008,0.000023,-0.00002,0.000201,3.049E-6,-0.00009,-0.00010,-462E-12,-6.29E-9,-1.09E-8,-2.79E-8,-1.07E-7,-6.94E-7,-6.57E-9,-3.05E-9,-8.17E-8,5.559E-9,-6.45E-9,1.097E-8,-2.45E-8,2.3E-8,4.06E-8,1.001E-8,3.607E-8,2.413E-7,2.735E-8,6.136E-9,-8.32E-8
7,"UN(4,1)",0.000128,-0.00030,-0.00019,0.000119,0.000057,-0.00002,0.000773,0.000208,-0.00002,0.000073,-0.00009,-0.00013,0.000045,0.000226,-0.00006,-0.00007,8.646E-7,1.291E-6,-0.00009,-0.00002,7.721E-6,0.000041,0.000082,0.000052,-2.73E-6,4.449E-6,-6.94E-7,-0.00040,-0.00014,-0.00003,0.000041,0.000019,0.000029,-5.39E-7,-0.00013,8.078E-6,5.203E-6,-0.00002,2.756E-6,0.000152,-1.28E-7,-0.00001,-3.54E-8,3.666E-8,3.889E-8,-1.53E-8,-1.9E-9,-5.26E-9,-1.62E-7,-7.31E-8,1.411E-8,-1.37E-7,-8.53E-9,1.611E-8,-651E-12,-8.89E-8,-6.18E-9,2.403E-8,3.206E-9,3.652E-9,-4.63E-8,-2.15E-9,2.158E-8
8,"UN(4,2)",0.000035,-0.00002,-0.00071,0.000045,0.000116,0.000026,0.000208,0.000922,4.02E-6,-0.00043,0.000022,-0.00037,0.000088,0.000597,-0.00017,-0.00005,0.000050,-0.00006,-0.00025,-9.11E-6,0.000054,0.000014,0.000045,0.000136,-3.32E-6,-0.00001,7.598E-7,-0.00014,-0.00038,0.000035,0.000147,0.000016,0.000055,-3.63E-6,-0.00024,0.000014,9.315E-7,-1.16E-6,-3.61E-7,0.000068,5.697E-6,-4.69E-6,-1.38E-8,-1.09E-8,1.402E-7,-1.04E-8,-2.15E-8,-2.51E-9,-5.4E-8,-2.58E-7,-3.24E-8,5.92E-8,-1.79E-8,4.161E-8,-1.95E-8,-1.63E-7,-5.22E-9,1.823E-8,3.103E-8,1.164E-8,7.6E-8,3.532E-8,-2.98E-8
9,"UN(4,3)",-0.00001,0.000030,-0.00005,0.000062,-0.00032,0.000269,-0.00002,4.02E-6,0.000768,0.000159,0.000021,-0.00003,-0.00010,-3.26E-6,-0.00002,-0.00003,0.000168,-0.00014,-0.00040,0.000053,0.000074,3.318E-6,4.18E-6,-0.00001,0.000014,0.000054,-6.23E-6,-0.00003,0.000035,-0.00028,-8.47E-6,-5.58E-6,-0.00002,9.858E-6,0.000125,-7.43E-6,-6.18E-6,-0.00003,0.000011,0.000138,-8.35E-6,-9.26E-6,-2.32E-9,1.48E-11,7.481E-9,-3.13E-8,6.649E-8,-4.92E-8,-7.91E-9,-5.36E-8,-2.41E-7,-1.06E-7,6.39E-10,-2.2E-8,5.113E-9,-5.83E-8,-3.47E-8,1.103E-8,-1.28E-8,5.316E-8,9.615E-8,1.072E-8,-3.2E-8
10,"UN(4,4)",0.000013,-0.00004,0.000192,0.000020,-0.00008,0.000034,0.000073,-0.00043,0.000159,0.001100,-0.00002,0.000065,-0.00003,-0.00014,0.000023,-9.39E-6,0.000041,-0.00002,-0.00009,0.000014,8.77E-6,-2.13E-6,-7.68E-6,-0.00003,4.44E-7,1.664E-6,-1.25E-7,0.000041,0.000147,-8.51E-6,-0.00078,-1.22E-6,-4.48E-6,3.007E-7,0.000023,-7.62E-7,-1.37E-6,-4.9E-6,2.829E-7,0.000026,-7.79E-7,-8.7E-7,-5.04E-9,1.041E-8,-1.81E-9,-4.06E-9,-4.57E-9,3.901E-9,-3.97E-8,1.597E-7,-6.72E-8,-1.9E-7,-1.06E-9,2.577E-8,-1.43E-8,6.052E-8,2.493E-8,7.701E-9,-2.65E-8,1.188E-8,3.468E-8,-8.83E-9,-7.25E-9
11,"UN(5,1)",0.000671,0.000934,0.000487,0.000036,-0.00004,-0.00003,-0.00009,0.000022,0.000021,-0.00002,0.001067,0.000537,-0.00004,0.000020,0.000586,-0.00041,-0.00017,0.000053,-0.00002,-0.00021,0.000022,-0.00027,-0.00028,-0.00017,0.000115,0.000025,0.000020,0.000019,0.000016,-5.58E-6,-1.23E-6,-0.00046,-0.00022,9.621E-6,0.000025,-0.00028,0.000070,0.000098,-0.00005,-5.52E-6,0.000166,-0.00001,-1.12E-7,-1.91E-7,-1.55E-7,-2.26E-8,-7.73E-9,-1.75E-8,-4.41E-8,-6.15E-8,8.427E-9,-2.19E-8,-1.82E-7,-1.53E-7,2.683E-9,-7.21E-8,-1.54E-7,6.134E-8,1.672E-8,2.768E-8,5.374E-9,-9.18E-9,-1.05E-8
12,"UN(5,2)",0.000199,0.000609,0.001840,0.000033,0.000140,0.000036,-0.00013,-0.00037,-0.00003,0.000065,0.000537,0.001682,0.000116,-0.00036,0.001436,-0.00023,-0.00074,-0.00008,0.000159,-0.00065,0.000308,-0.00009,-0.00021,-0.00044,0.000056,0.000136,-0.00002,0.000029,0.000055,-0.00002,-4.53E-6,-0.00022,-0.00052,0.000111,0.000084,-0.00049,0.000030,0.000058,-0.00002,-5.38E-6,0.000084,-6.12E-6,-4.29E-8,-1.55E-7,-5.31E-7,-2.11E-8,-6.04E-8,1.014E-9,-3.22E-9,-2.56E-8,-1.04E-8,1.211E-8,-1.17E-7,-4.25E-7,-4.97E-8,-4.4E-9,-3.29E-7,5.378E-8,1.845E-7,1.336E-8,1.066E-8,1.469E-7,-5.64E-8
