Row,CovParm,CovP1,CovP2,CovP3,CovP4,CovP5,CovP6,CovP7,CovP8,CovP9,CovP10,CovP11,CovP12,CovP13,CovP14,CovP15,CovP16,CovP17,CovP18,CovP19,CovP20,CovP21,CovP22,CovP23,CovP24,CovP25,CovP26,CovP27,CovP28,CovP29,CovP30,CovP31,CovP32,CovP33,CovP34,CovP35,CovP36,CovP37,CovP38,CovP39,CovP40,CovP41,CovP42,CovP43,CovP44,CovP45,CovP46,CovP47,CovP48,CovP49,CovP50,CovP51,CovP52,CovP53,CovP54,CovP55,CovP56,CovP57,CovP58,CovP59,CovP60,CovP61,CovP62,CovP63
1,"UN(1,1)",0.004665,0.000125,5.115E-6,-0.00021,-0.00004,0.000110,-0.00093,-0.00007,0.000136,0.000277,0.000517,0.000015,-0.00005,-0.00013,0.000064,-0.00021,0.000028,-0.00007,-0.00004,4.79E-8,0.000076,-0.00183,0.000145,0,-0.00038,0.000018,-0.00008,-0.00013,0.000011,-0.00003,-0.00001,-0.00007,0.000021,-0.00002,-0.00001,0,0.000555,-0.00004,0.000112,0.000042,0.000026,-0.00016,-0.00003,0.000017,-6.13E-6,-6.35E-6,1.977E-6,3.565E-6,-0.00001,-2.49E-6,2.617E-7,1.185E-6,-9.13E-6,-3.5E-6,-2.75E-6,-8.27E-7,-1.97E-6,-0.00003,-9.19E-6,-4.29E-6,1.921E-6,-2.28E-6,0.000011
2,"UN(2,1)",0.000125,0.001393,0.000070,-0.00036,-4.29E-6,0.000047,-0.00046,-0.00026,0.000053,0.000090,0.001026,0.000155,-0.00006,-0.00024,0.000193,-0.00029,-0.00014,7.197E-6,0.000119,-0.00009,0.000045,0.000184,-0.00075,0,0.000158,-0.00019,0.000060,0.000437,-0.00003,0.000090,0.000040,-0.00044,-0.00002,-0.00011,0.000017,0,0.000049,0.000273,-0.00002,-0.00013,0.000162,-0.00006,2.89E-6,0.000012,0.000066,0.000015,0.000012,4.01E-6,-0.00001,-0.00002,-2.82E-6,-1.53E-6,-8.67E-7,0.000021,0.000011,-0.00001,-0.00001,-8.95E-6,-0.00004,-5.52E-6,8.511E-6,-0.00002,0.000021
3,"UN(2,2)",5.115E-6,0.000070,0.001151,-0.00003,-0.00032,0.000099,-0.00001,-0.00029,0.000082,0.000082,0.000064,0.000925,-0.00025,-0.00023,0.000740,-0.00002,-0.00029,0.000073,0.000065,-0.00023,0.000079,4.847E-6,0.000060,0,-8.44E-6,0.000032,-0.00001,-0.00001,0.000102,-0.00003,-0.00005,0.000039,4.196E-7,0.000020,0.000067,0,-8.68E-6,-0.00001,-7.17E-7,-0.00001,-5.95E-6,-2.09E-6,-0.00001,-0.00009,-0.00057,4.064E-6,0.000028,-2.35E-6,4.956E-6,0.000035,-2.02E-6,-3.12E-6,-0.00006,-0.00041,0.000021,0.000025,-0.00029,0.000018,0.000110,-8.9E-6,-5.98E-6,0.000080,-0.00002
4,"UN(3,1)",-0.00021,-0.00036,-0.00003,0.002566,0.000133,-0.00029,0.000693,0.000104,-0.00061,-0.00031,-0.00087,-0.00008,0.000325,0.000263,-0.00018,-0.00180,-0.00008,0.000060,0.000403,-0.00018,0.000052,-0.00031,0.000099,0,-0.00066,0.000031,-0.00030,-0.00007,0.000013,-0.00004,-5.25E-6,0.000224,4.651E-6,0.000042,3.313E-6,0,0.000369,-0.00005,0.000274,0.000039,-0.00007,-0.00019,-0.00002,0.000035,-0.00002,0.000022,0.000025,0.000014,-0.00003,1.937E-6,-0.00001,-2.37E-6,0.000010,-0.00001,-1.28E-6,3.144E-6,6.562E-6,-4.42E-6,-0.00001,-0.00003,7.426E-6,4.903E-6,0.000017
5,"UN(3,2)",-0.00004,-4.29E-6,-0.00032,0.000133,0.001570,-0.00067,-3.02E-6,0.000389,-0.00048,-0.00019,-0.00005,-0.00059,0.001213,0.000381,-0.00066,-0.00009,-0.00102,-0.00013,0.000180,-0.00066,0.000489,0.000041,-0.00016,0,0.000071,-0.00060,0.000129,0.000109,-0.00005,0.000313,0.000098,-0.00011,0.000090,-0.00032,-0.00008,0,-0.00002,0.000315,0.000071,-0.00017,0.000142,-0.00009,-5.11E-6,-7.78E-6,0.000114,9.063E-6,0.000046,0.000047,-2.58E-6,-0.00003,-0.00002,0.000011,-2.93E-6,0.000098,-4.83E-6,-2.4E-6,0.000131,-4.31E-7,-0.00004,-0.00002,0.000012,-0.00003,0.000013
6,"UN(3,3)",0.000110,0.000047,0.000099,-0.00029,-0.00067,0.005785,-0.00011,-0.00019,0.001372,0.000370,0.000087,0.000202,-0.00191,-0.00045,0.000595,0.000277,0.000504,-0.00402,-0.00101,0.001342,0.002816,-0.00005,0.000053,0,-0.00020,-0.00002,-0.00116,-0.00003,0.000022,0.000027,-1.82E-6,0.000091,0.000071,0.000356,-0.00002,0,0.000107,-0.00001,0.000533,0.000014,-0.00018,-0.00026,-7E-6,5.68E-6,-0.00004,-0.00002,0.000098,0.000186,-0.00001,3.515E-6,-0.00006,-0.00001,4.19E-6,-0.00008,-3.57E-6,0.000016,-0.00008,5.89E-6,-0.00004,-0.00005,0.000024,4.883E-6,0.000025
7,"UN(4,1)",-0.00093,-0.00046,-0.00001,0.000693,-3.02E-6,-0.00011,0.002052,0.000071,-0.00014,-0.00059,-0.00040,-0.00005,0.000085,0.000246,-0.00007,-0.00046,0.000069,5.288E-6,-0.00011,-0.00002,0.000058,-0.00018,0.000405,0,-0.00015,0.000090,-0.00006,-0.00127,0.000066,-0.00027,-0.00014,0.000146,0.000022,0.000032,-0.00005,0,0.000342,-0.00015,0.000103,0.000408,-0.00003,-0.00018,0.000015,0.000024,-0.00003,3.988E-6,1.613E-6,1.925E-6,4.646E-6,0.000024,2.218E-6,-0.00001,0.000018,-5.67E-6,-3.14E-6,2.265E-6,0.000010,-2.06E-6,8.089E-7,-1.72E-6,-0.00003,-2.91E-6,3.028E-6
8,"UN(4,2)",-0.00007,-0.00026,-0.00029,0.000104,0.000389,-0.00019,0.000071,0.001220,-0.00033,-0.00077,-0.00022,-0.00027,0.000316,0.000862,-0.00026,0.000057,-0.00028,-0.00001,-0.00016,-0.00019,0.000115,3.029E-6,-0.00007,0,0.000012,-0.00011,0.000038,0.000099,-0.00100,0.000207,0.000979,-0.00003,-0.00003,-0.00007,-0.00059,0,-0.00002,0.000342,-0.00005,-0.00003,0.000223,-0.00008,0.000010,0.000062,0.000363,9.61E-7,0.000015,-3.66E-7,1.795E-6,0.000019,0.000017,-0.00003,0.000040,0.000237,0.000017,-4.49E-7,0.000139,-0.00002,-0.00008,-5.13E-6,-0.00001,-0.00005,0.000026
9,"UN(4,3)",0.000136,0.000053,0.000082,-0.00061,-0.00048,0.001372,-0.00014,-0.00033,0.002193,0.000896,0.000198,0.000171,-0.00055,-0.00078,0.000208,0.000421,0.000328,-0.00094,-0.00146,0.000385,0.000608,-0.00003,0.000091,0,-0.00008,0.000257,-0.00018,-0.00022,0.000108,-0.00098,-0.00013,0.000060,-0.00005,0.000100,0.000359,0,0.000085,-0.00019,0.000260,0.000499,-0.00013,-0.00021,-2.01E-7,-6.71E-6,-0.00008,0.000011,0.000032,0.000015,-0.00001,0.000063,0.000082,-0.00007,-0.00001,-0.00006,0.000029,1.071E-6,-0.00006,3.309E-7,-7.02E-6,-0.00001,-0.00001,1.196E-7,5.556E-6
10,"UN(4,4)",0.000277,0.000090,0.000082,-0.00031,-0.00019,0.000370,-0.00059,-0.00077,0.000896,0.003467,0.000129,0.000074,-0.00019,-0.00052,0.000092,0.000145,0.000233,-0.00022,-0.00075,0.000162,0.000169,-2.98E-6,0.000058,0,-0.00002,0.000092,-0.00004,-0.00021,0.000874,-0.00035,-0.00344,0.000019,0.000034,0.000045,0.000293,0,0.000052,-0.00032,0.000096,0.000845,-0.00014,-0.00018,-4.61E-6,-0.00003,-0.00018,2.094E-6,1.551E-6,5.217E-6,0.000031,0.000087,0.000014,0.000125,-0.00002,-0.00011,-3.02E-6,0.000077,-0.00005,4.118E-6,0.000025,-2.83E-6,-0.00002,0.000013,-0.00001
