CovParm,Subject,Estimate
"UN(1,1)",Line,0.1541
"UN(2,1)",Line,0.08330
"UN(2,2)",Line,0.2543
"UN(3,1)",Line,-0.07275
"UN(3,2)",Line,0.001883
"UN(3,3)",Line,0.1222
"UN(4,1)",Line,-0.03627
"UN(4,2)",Line,0.06018
"UN(4,3)",Line,0.04405
"UN(4,4)",Line,0.01454
"UN(5,1)",Line,0.04689
"UN(5,2)",Line,0.2241
"UN(5,3)",Line,-0.00516
"UN(5,4)",Line,0.01213
"UN(5,5)",Line,0.1724
"UN(6,1)",Line,0.02172
"UN(6,2)",Line,-0.09153
"UN(6,3)",Line,-0.09062
"UN(6,4)",Line,-0.05580
"UN(6,5)",Line,-0.08077
"UN(6,6)",Line,0.07535
"UN(1,1)",Vial(Treat*Line),0.1639
"UN(2,1)",Vial(Treat*Line),0.09437
"UN(2,2)",Vial(Treat*Line),0.07645
"UN(3,1)",Vial(Treat*Line),0.000290
"UN(3,2)",Vial(Treat*Line),-0.04808
"UN(3,3)",Vial(Treat*Line),0.04758
"UN(4,1)",Vial(Treat*Line),0.06542
"UN(4,2)",Vial(Treat*Line),-0.00715
"UN(4,3)",Vial(Treat*Line),-0.01253
"UN(4,4)",Vial(Treat*Line),0.09421
"UN(5,1)",Vial(Treat*Line),0.1318
"UN(5,2)",Vial(Treat*Line),0.06817
"UN(5,3)",Vial(Treat*Line),-0.04228
"UN(5,4)",Vial(Treat*Line),0.04932
"UN(5,5)",Vial(Treat*Line),0.1076
"UN(6,1)",Vial(Treat*Line),-0.03836
"UN(6,2)",Vial(Treat*Line),-0.05148
"UN(6,3)",Vial(Treat*Line),0.01924
"UN(6,4)",Vial(Treat*Line),0.000464
"UN(6,5)",Vial(Treat*Line),-0.02768
"UN(6,6)",Vial(Treat*Line),0.04338
"UN(1,1)",Anim(Trea*Line*Vial),0.5494
"UN(2,1)",Anim(Trea*Line*Vial),0.2119
"UN(2,2)",Anim(Trea*Line*Vial),0.8132
"UN(3,1)",Anim(Trea*Line*Vial),-0.01852
"UN(3,2)",Anim(Trea*Line*Vial),0.01744
"UN(3,3)",Anim(Trea*Line*Vial),0.6779
"UN(4,1)",Anim(Trea*Line*Vial),-0.02032
"UN(4,2)",Anim(Trea*Line*Vial),-0.02310
"UN(4,3)",Anim(Trea*Line*Vial),-0.00797
"UN(4,4)",Anim(Trea*Line*Vial),0.5819
"UN(5,1)",Anim(Trea*Line*Vial),0.1858
"UN(5,2)",Anim(Trea*Line*Vial),0.5730
"UN(5,3)",Anim(Trea*Line*Vial),-0.1941
"UN(5,4)",Anim(Trea*Line*Vial),0.07231
"UN(5,5)",Anim(Trea*Line*Vial),0.8160
"UN(6,1)",Anim(Trea*Line*Vial),-0.1154
"UN(6,2)",Anim(Trea*Line*Vial),-0.1742
"UN(6,3)",Anim(Trea*Line*Vial),-0.2304
"UN(6,4)",Anim(Trea*Line*Vial),-0.04538
"UN(6,5)",Anim(Trea*Line*Vial),-0.1972
"UN(6,6)",Anim(Trea*Line*Vial),0.7509
