CovParm,Subject,Estimate
"UN(1,1)",Line,0.1017
"UN(2,1)",Line,0.02261
"UN(2,2)",Line,0.1349
"UN(3,1)",Line,-0.02405
"UN(3,2)",Line,0.02837
"UN(3,3)",Line,0.1413
"UN(4,1)",Line,0.02047
"UN(4,2)",Line,-0.04332
"UN(4,3)",Line,0.02526
"UN(4,4)",Line,0.03036
"UN(5,1)",Line,0.02568
"UN(5,2)",Line,0.09722
"UN(5,3)",Line,0.05359
"UN(5,4)",Line,-0.01865
"UN(5,5)",Line,0.06621
"UN(6,1)",Line,0.03132
"UN(6,2)",Line,-0.06447
"UN(6,3)",Line,-0.07675
"UN(6,4)",Line,-0.01002
"UN(6,5)",Line,-0.07335
"UN(6,6)",Line,0.07402
"UN(1,1)",Vial(Treat*Line),0.09967
"UN(2,1)",Vial(Treat*Line),0.02711
"UN(2,2)",Vial(Treat*Line),0.03636
"UN(3,1)",Vial(Treat*Line),0.005536
"UN(3,2)",Vial(Treat*Line),-0.02008
"UN(3,3)",Vial(Treat*Line),0.006456
"UN(4,1)",Vial(Treat*Line),-0.02124
"UN(4,2)",Vial(Treat*Line),-0.04034
"UN(4,3)",Vial(Treat*Line),0.01212
"UN(4,4)",Vial(Treat*Line),0.01201
"UN(5,1)",Vial(Treat*Line),0.02790
"UN(5,2)",Vial(Treat*Line),0.02428
"UN(5,3)",Vial(Treat*Line),-0.02318
"UN(5,4)",Vial(Treat*Line),-0.03913
"UN(5,5)",Vial(Treat*Line),0.06559
"UN(6,1)",Vial(Treat*Line),-0.04892
"UN(6,2)",Vial(Treat*Line),-0.00616
"UN(6,3)",Vial(Treat*Line),-0.02710
"UN(6,4)",Vial(Treat*Line),0.02494
"UN(6,5)",Vial(Treat*Line),0.008149
"UN(6,6)",Vial(Treat*Line),0.05108
"UN(1,1)",Anim(Trea*Line*Vial),0.4289
"UN(2,1)",Anim(Trea*Line*Vial),0.1918
"UN(2,2)",Anim(Trea*Line*Vial),0.6981
"UN(3,1)",Anim(Trea*Line*Vial),0.05004
"UN(3,2)",Anim(Trea*Line*Vial),0.02608
"UN(3,3)",Anim(Trea*Line*Vial),0.6701
"UN(4,1)",Anim(Trea*Line*Vial),0.06553
"UN(4,2)",Anim(Trea*Line*Vial),0.04621
"UN(4,3)",Anim(Trea*Line*Vial),-0.06049
"UN(4,4)",Anim(Trea*Line*Vial),0.9143
"UN(5,1)",Anim(Trea*Line*Vial),0.1771
"UN(5,2)",Anim(Trea*Line*Vial),0.4478
"UN(5,3)",Anim(Trea*Line*Vial),-0.1881
"UN(5,4)",Anim(Trea*Line*Vial),0.1932
"UN(5,5)",Anim(Trea*Line*Vial),0.6570
"UN(6,1)",Anim(Trea*Line*Vial),-0.1134
"UN(6,2)",Anim(Trea*Line*Vial),-0.1387
"UN(6,3)",Anim(Trea*Line*Vial),-0.1948
"UN(6,4)",Anim(Trea*Line*Vial),-0.1711
"UN(6,5)",Anim(Trea*Line*Vial),-0.08281
"UN(6,6)",Anim(Trea*Line*Vial),0.6543
