Row,CovParm,CovP1,CovP2,CovP3,CovP4,CovP5,CovP6,CovP7,CovP8,CovP9,CovP10,CovP11,CovP12,CovP13,CovP14,CovP15,CovP16,CovP17,CovP18,CovP19,CovP20,CovP21,CovP22,CovP23,CovP24,CovP25,CovP26,CovP27,CovP28,CovP29,CovP30,CovP31,CovP32,CovP33,CovP34,CovP35,CovP36,CovP37,CovP38,CovP39,CovP40,CovP41,CovP42,CovP43,CovP44,CovP45,CovP46,CovP47,CovP48,CovP49,CovP50,CovP51,CovP52,CovP53,CovP54,CovP55,CovP56,CovP57,CovP58,CovP59,CovP60,CovP61,CovP62,CovP63
1,"UN(1,1)",0.002359,0.000283,0.000067,0.000052,0.000026,4.562E-6,0.000069,0.000097,0.000011,0.000066,0.000791,0.000122,0.000028,0.000090,0.000286,-0.00073,-0.00016,-0.00004,-0.00016,-0.00029,0.000347,-0.00181,-0.00037,-0.00005,-0.00007,-9.67E-6,0,-0.00067,-0.00018,2.535E-6,0,-0.00075,-0.00016,-0.00003,-0.00028,-0.00031,0.000919,0.000193,0.000043,0.000338,0.000383,-0.00047,0.000018,-0.00003,-0.00003,-0.00002,-0.00001,-1.37E-6,0.000019,0.000012,6.662E-6,-0.00010,-3.63E-6,-0.00001,-5.22E-6,-9.66E-6,-6.92E-6,0.000028,0.000020,6.795E-6,6.393E-6,0.000014,-0.00002
2,"UN(2,1)",0.000283,0.001228,0.000304,0.000524,0.000088,-1.24E-6,0.000095,0.000096,-1.06E-6,-0.00002,0.001008,0.000514,0.000184,0.000047,0.000625,-0.00070,-0.00047,-0.00014,-0.00002,-0.00049,0.000357,-0.00045,-0.00102,-0.00036,-0.00028,-0.00008,0,-0.00010,-0.00044,-0.00012,0,-0.00073,-0.00052,-0.00015,-0.00029,-0.00054,0.000479,0.000565,0.000145,0.000162,0.000486,-0.00037,0.000025,0.000012,-0.00005,-5.53E-6,-0.00003,-0.00002,-5.78E-6,0.000019,2.997E-6,-6.07E-6,-4.38E-7,-0.00002,-8.89E-6,5.087E-6,-9.34E-6,0.000013,0.000035,0.000013,1.708E-6,0.000021,-0.00003
3,"UN(2,2)",0.000067,0.000304,0.002393,0.000106,0.000993,0.000360,3.515E-6,0.000085,0.000035,5.603E-6,0.000209,0.001877,0.000827,0.000084,0.001507,-0.00015,-0.00123,-0.00049,-0.00005,-0.00100,0.000628,-0.00010,-0.00047,-0.00205,-0.00014,-0.00052,0,-4.07E-6,-4.8E-6,0.000011,0,-0.00031,-0.00132,-0.00039,-0.00002,-0.00085,0.000181,0.000724,0.000136,4.533E-6,0.000506,-0.00025,0.000013,0.000038,0.000060,6.555E-6,1.705E-6,-0.00006,-7.78E-6,-0.00004,-3.02E-6,-5.01E-7,0.000013,-5.86E-6,0.000012,-0.00002,-0.00003,1.336E-6,0.000036,0.000026,6.977E-6,0.000024,-0.00003
4,"UN(3,1)",0.000052,0.000524,0.000106,0.001458,0.000143,0.000024,0.000196,0.000024,0.000032,-0.00005,0.000226,0.000168,0.000469,-1.19E-6,0.000092,-0.00096,-0.00022,-0.00042,-0.00005,-0.00031,0.000506,-0.00011,-0.00029,-0.00011,-0.00095,-0.00017,0,-0.00013,-0.00017,-0.00044,0,0.000088,-0.00010,-0.00040,5.038E-6,0.000090,0.000570,0.000233,0.000481,0.000311,0.000185,-0.00055,-3.64E-6,-5.89E-6,-0.00001,0.000017,-0.00003,-0.00006,8.893E-6,9.019E-6,0.000024,-0.00004,-0.00003,-6.63E-6,0.000010,-0.00001,-0.00002,3.675E-6,0.000023,0.000034,-3.61E-6,6.877E-6,-0.00003
5,"UN(3,2)",0.000026,0.000088,0.000993,0.000143,0.001556,0.001013,0.000018,0.000206,0.000116,0.000018,0.000029,0.000627,0.001272,0.000181,0.000375,-0.00010,-0.00114,-0.00103,-0.00013,-0.00088,0.000896,-0.00002,-0.00012,-0.00052,-0.00024,-0.00090,0,-0.00004,-0.00016,0.000024,0,-0.00002,-0.00008,-0.00066,-0.00014,0.000149,0.000148,0.000570,0.000230,0.000034,0.000364,-0.00026,-1.87E-6,-2.39E-6,-0.00001,0.000024,0.000023,-0.00019,6.583E-6,0.000018,-9.83E-6,-2.75E-6,-0.00001,-0.00004,0.000046,0.000014,-0.00005,-4.46E-6,0.000011,0.000080,-1.13E-6,-4.24E-6,-0.00004
6,"UN(3,3)",4.562E-6,-1.24E-6,0.000360,0.000024,0.001013,0.002637,-8.73E-6,0.000135,0.000402,0.000051,-0.00002,0.000223,0.000714,0.000080,0.000115,-1.82E-6,-0.00067,-0.00179,-0.00026,-0.00045,0.001212,-1.23E-6,-0.00002,-0.00003,-0.00010,-0.00009,0,-4.03E-6,-0.00002,-0.00011,0,0.000010,-4.44E-6,-0.00007,0.000013,9.471E-6,0.000049,0.000055,0.000058,0.000058,0.000033,-0.00007,-1.65E-6,-8.91E-7,-8.55E-6,6.589E-6,-0.00005,-0.00056,1.485E-6,7.559E-6,0.000060,-3.35E-6,-1.44E-6,7.038E-6,0.000092,-0.00001,-0.00002,-2.46E-6,0.000020,0.000209,-0.00002,-0.00004,-0.00007
7,"UN(4,1)",0.000069,0.000095,3.515E-6,0.000196,0.000018,-8.73E-6,0.000997,0.000131,-0.00004,-0.00019,0.000098,0.000038,0.000063,0.000357,0.000063,-0.00020,-0.00003,-0.00004,-0.00032,-0.00010,0.000110,-0.00061,-0.00007,5.768E-6,-0.00009,-0.00003,0,-0.00078,-0.00018,0.000036,0,-0.00026,-0.00002,-0.00004,-0.00034,-0.00011,0.000311,0.000036,0.000046,0.000419,0.000136,-0.00016,6.146E-6,-4.51E-6,-2.53E-6,-8.44E-6,-1.66E-6,1.857E-6,-2.72E-6,-0.00001,6.363E-6,-0.00026,-8.49E-6,-6.05E-6,-2.04E-6,-0.00004,-0.00001,-1.26E-6,-7.2E-7,3.253E-6,0.000044,6.979E-6,-3.18E-6
8,"UN(4,2)",0.000097,0.000096,0.000085,0.000024,0.000206,0.000135,0.000131,0.001079,0.000472,0.000072,0.000054,0.000129,0.000188,0.000827,0.000101,-0.00004,-0.00016,-0.00014,-0.00057,-0.00014,0.000122,-0.00017,-0.00040,0.000038,-0.00014,-0.00009,0,-0.00023,-0.00100,-0.00029,0,-0.00029,-0.00016,-0.00014,-0.00062,-0.00020,0.000185,0.000187,0.000072,0.000363,0.000191,-0.00013,1.711E-6,-2.86E-8,-0.00002,-2.04E-6,-0.00002,-0.00003,0.000015,0.000018,-4.86E-7,-0.00004,-5.51E-7,-0.00001,-1.35E-6,-0.00002,-0.00002,-1.33E-6,-7E-6,0.000011,0.000027,2.905E-6,-4.63E-6
9,"UN(4,3)",0.000011,-1.06E-6,0.000035,0.000032,0.000116,0.000402,-0.00004,0.000472,0.001270,0.000187,-0.00007,0.000042,0.000109,0.000162,-0.00002,8.148E-7,-0.00008,-0.00026,-0.00079,-0.00004,0.000151,0.000011,-0.00011,0.000015,-0.00040,0.000040,0,0.000030,-0.00029,-0.00091,0,0.000062,-0.00007,-0.00017,0.000159,0.000051,0.000213,0.000029,0.000154,0.000479,0.000071,-0.00015,-4.01E-6,-3.62E-7,-1.12E-7,4.739E-6,-0.00002,-0.00011,-4.24E-6,4.752E-8,0.000035,-0.00008,-3.03E-6,4.932E-6,0.000015,-0.00005,-0.00001,-9.14E-7,3.097E-6,0.000024,0.000019,5.936E-6,-0.00001
10,"UN(4,4)",0.000066,-0.00002,5.603E-6,-0.00005,0.000018,0.000051,-0.00019,0.000072,0.000187,0.001045,0.000017,-4.07E-6,-0.00001,0.000021,0.000017,3.025E-6,-4.33E-6,-0.00001,-0.00004,9.273E-7,-3.8E-6,-0.00002,1.377E-6,-8.86E-7,-4.39E-6,-2.1E-6,0,-0.00006,6.006E-6,0.000017,0,-9.88E-6,-1.02E-7,-1.81E-6,-4.36E-7,1.021E-6,0.000015,-3.54E-6,-9.93E-7,0.000052,7.168E-6,-3.17E-6,-1.9E-6,1.026E-6,-2.59E-6,1.95E-6,-3.01E-6,-5.49E-6,-0.00001,0.000038,0.000044,-0.00063,-2.21E-6,6.931E-6,8.595E-6,-0.00011,-0.00002,7.231E-7,-1.56E-6,-3.28E-6,0.000036,6.287E-6,-5.21E-6
