CovParm,Subject,Estimate
"UN(1,1)",Line,0.09145
"UN(2,1)",Line,0.008792
"UN(2,2)",Line,0.09618
"UN(3,1)",Line,0.01302
"UN(3,2)",Line,0.07226
"UN(3,3)",Line,0.2030
"UN(4,1)",Line,0.02405
"UN(4,2)",Line,0.03109
"UN(4,3)",Line,0.01504
"UN(4,4)",Line,0.04523
"UN(5,1)",Line,-0.00900
"UN(5,2)",Line,0.05451
"UN(5,3)",Line,0.05117
"UN(5,4)",Line,0.004528
"UN(5,5)",Line,0.01625
"UN(6,1)",Line,-0.04175
"UN(6,2)",Line,-0.09703
"UN(6,3)",Line,-0.2195
"UN(6,4)",Line,-0.01329
"UN(6,5)",Line,-0.04075
"UN(6,6)",Line,0.2326
"UN(1,1)",Vial(Treat*Line),0.2103
"UN(2,1)",Vial(Treat*Line),0.1245
"UN(2,2)",Vial(Treat*Line),0.06958
"UN(3,1)",Vial(Treat*Line),0.04450
"UN(3,2)",Vial(Treat*Line),0.06361
"UN(3,3)",Vial(Treat*Line),0.04066
"UN(4,1)",Vial(Treat*Line),-0.01528
"UN(4,2)",Vial(Treat*Line),0.02884
"UN(4,3)",Vial(Treat*Line),0.007086
"UN(4,4)",Vial(Treat*Line),0
"UN(5,1)",Vial(Treat*Line),0.1636
"UN(5,2)",Vial(Treat*Line),0.09872
"UN(5,3)",Vial(Treat*Line),0.04825
"UN(5,4)",Vial(Treat*Line),0.04882
"UN(5,5)",Vial(Treat*Line),0.1488
"UN(6,1)",Vial(Treat*Line),-0.1665
"UN(6,2)",Vial(Treat*Line),-0.1299
"UN(6,3)",Vial(Treat*Line),-0.03968
"UN(6,4)",Vial(Treat*Line),-0.04594
"UN(6,5)",Vial(Treat*Line),-0.1553
"UN(6,6)",Vial(Treat*Line),0.1780
"UN(1,1)",Anim(Trea*Line*Vial),0.5103
"UN(2,1)",Anim(Trea*Line*Vial),0.1958
"UN(2,2)",Anim(Trea*Line*Vial),0.7699
"UN(3,1)",Anim(Trea*Line*Vial),-0.03940
"UN(3,2)",Anim(Trea*Line*Vial),-0.07018
"UN(3,3)",Anim(Trea*Line*Vial),0.6355
"UN(4,1)",Anim(Trea*Line*Vial),0.03085
"UN(4,2)",Anim(Trea*Line*Vial),-0.01447
"UN(4,3)",Anim(Trea*Line*Vial),0.02079
"UN(4,4)",Anim(Trea*Line*Vial),0.7823
"UN(5,1)",Anim(Trea*Line*Vial),0.1953
"UN(5,2)",Anim(Trea*Line*Vial),0.5496
"UN(5,3)",Anim(Trea*Line*Vial),-0.2515
"UN(5,4)",Anim(Trea*Line*Vial),0.06987
"UN(5,5)",Anim(Trea*Line*Vial),0.7921
"UN(6,1)",Anim(Trea*Line*Vial),-0.1307
"UN(6,2)",Anim(Trea*Line*Vial),-0.1966
"UN(6,3)",Anim(Trea*Line*Vial),-0.1936
"UN(6,4)",Anim(Trea*Line*Vial),-0.1256
"UN(6,5)",Anim(Trea*Line*Vial),-0.2204
"UN(6,6)",Anim(Trea*Line*Vial),0.8268
