Row,CovParm,CovP1,CovP2,CovP3,CovP4,CovP5,CovP6,CovP7,CovP8,CovP9,CovP10,CovP11,CovP12,CovP13,CovP14,CovP15,CovP16,CovP17,CovP18,CovP19,CovP20,CovP21,CovP22,CovP23,CovP24,CovP25,CovP26,CovP27,CovP28,CovP29,CovP30,CovP31,CovP32,CovP33,CovP34,CovP35,CovP36,CovP37,CovP38,CovP39,CovP40,CovP41,CovP42,CovP43,CovP44,CovP45,CovP46,CovP47,CovP48,CovP49,CovP50,CovP51,CovP52,CovP53,CovP54,CovP55,CovP56,CovP57,CovP58,CovP59,CovP60,CovP61,CovP62,CovP63
1,"UN(1,1)",0.004988,0.002631,0.001395,-0.00103,-0.00055,0.000262,0.000113,0.000057,0.000018,0.000044,0.002412,0.001273,-0.00048,0.000083,0.001186,-0.00037,-0.00019,0.000038,-0.00004,-0.00020,0.000058,-0.00174,-0.00089,-0.00047,0.000014,7.053E-6,2.529E-8,-0.00037,-0.00019,1.36E-6,-0.00008,-0.00106,-0.00055,5.998E-6,-0.00023,-0.00066,0.000424,0.000223,-4.34E-6,0.000091,0.000263,-0.00010,2.274E-6,-6.64E-6,-6.14E-6,-8.58E-6,-2.29E-6,2.545E-6,4.471E-6,3.478E-6,-1.55E-7,-1.92E-6,-2.47E-6,-3.47E-6,3.674E-8,2.872E-6,3.382E-7,3.86E-6,2.783E-6,-2.14E-6,-1.97E-6,-1.63E-6,3.875E-6
2,"UN(2,1)",0.002631,0.003770,0.003248,-0.00047,-0.00078,0.000063,0.000381,0.000223,-0.00011,-0.00003,0.003209,0.002825,-0.00067,0.000182,0.002445,-0.00125,-0.00080,0.000275,-0.00002,-0.00071,0.000147,-0.00088,-0.00099,-0.00079,0.000147,0.000085,-5.37E-7,-0.00004,-0.00013,0.000029,0.000023,-0.00084,-0.00076,0.000095,-0.00009,-0.00070,0.000394,0.000332,-0.00004,0.000050,0.000316,-0.00014,-0.00001,-7.35E-6,-0.00002,-5.08E-6,-8.51E-6,2.3E-6,9.83E-6,8.575E-6,-1.96E-6,-6.31E-7,-0.00002,-0.00002,-4.07E-6,6.822E-6,-0.00002,0.000021,0.000016,-2.88E-6,-1.58E-6,0.000013,-3.57E-6
3,"UN(2,2)",0.001395,0.003248,0.007692,-0.00021,-0.00044,0.000042,0.000378,0.000947,-0.00004,0.000144,0.002725,0.006471,-0.00036,0.000809,0.005451,-0.00122,-0.00289,0.000164,-0.00036,-0.00243,0.001087,-0.00045,-0.00076,-0.00133,0.000150,0.000255,-0.00005,0.000057,0.000101,-0.00002,-3.43E-6,-0.00057,-0.00098,0.000196,0.000078,-0.00073,0.000291,0.000493,-0.00010,-0.00004,0.000369,-0.00019,-0.00001,-0.00002,-0.00002,-4.56E-6,-0.00002,-3.66E-7,6.415E-6,0.000021,-3.34E-6,8.691E-6,-0.00003,-0.00006,-0.00001,0.000016,-0.00008,0.000026,0.000066,6.384E-6,-1.44E-6,0.000068,-0.00004
4,"UN(3,1)",-0.00103,-0.00047,-0.00021,0.001914,0.000971,-0.00075,0.000244,0.000113,-0.00003,-0.00002,-0.00065,-0.00032,0.000930,0.000084,-0.00041,-0.00078,-0.00040,0.000069,-4.14E-7,-0.00033,0.000077,7.314E-6,0.000147,0.000153,-0.00056,-0.00029,0.000013,0.000051,0.000055,-0.00012,0.000021,0.000252,0.000218,-0.00035,0.000085,0.000308,0.000081,6.865E-6,0.000132,7.857E-6,-9.68E-6,-0.00004,-5.11E-6,-6.88E-6,-6.56E-6,-9.5E-7,-4.85E-6,-9.36E-6,3.394E-6,2.138E-6,6.527E-7,2.405E-8,-7.56E-6,-5.66E-6,3.198E-7,1.111E-6,-6.28E-6,0.000012,9.673E-6,2.103E-6,-1.19E-6,7.226E-6,-6.34E-6
5,"UN(3,2)",-0.00055,-0.00078,-0.00044,0.000971,0.002219,-0.00027,0.000031,0.000298,0.000249,0.000100,-0.00079,-0.00066,0.001884,0.000226,-0.00079,-0.00017,-0.00094,-0.00078,-0.00026,-0.00069,0.000772,2.814E-6,0.000080,0.000262,-0.00028,-0.00051,0.000191,0.000023,0.000036,0.000029,-5.66E-6,0.000128,0.000318,-0.00040,0.000018,0.000326,0.000040,0.000015,0.000162,-0.00002,-0.00004,-0.00005,9.448E-8,-5.21E-6,-0.00002,-5.38E-6,-7.41E-6,-8.24E-6,-2.1E-6,3.51E-6,5.21E-6,5.836E-6,-2.9E-6,-0.00002,-0.00002,7.399E-7,-0.00002,6.076E-6,0.000027,0.000024,-1.5E-6,0.000027,-0.00004
6,"UN(3,3)",0.000262,0.000063,0.000042,-0.00075,-0.00027,0.002517,-0.00013,-0.00002,0.000343,0.000069,0.000147,0.000079,-0.00057,-0.00006,0.000153,0.000378,0.000103,-0.00114,-0.00018,0.000229,0.000559,2.032E-6,5.831E-7,-0.00005,8.782E-6,0.000197,-0.00070,-1.4E-6,-0.00002,0.000068,-6.11E-6,-2.42E-6,-0.00008,0.000321,-0.00003,-0.00014,-2.96E-6,-0.00004,0.000083,-0.00001,-0.00005,2.277E-6,3.101E-6,2.153E-6,-1.17E-7,-3.44E-6,-0.00001,-0.00001,-3.6E-6,-1.4E-6,5.341E-6,3.689E-6,3.98E-6,1.52E-6,-0.00001,-2.71E-6,3.111E-6,-2.09E-6,6.82E-6,0.000032,-9.84E-7,3.409E-6,-0.00003
7,"UN(4,1)",0.000113,0.000381,0.000378,0.000244,0.000031,-0.00013,0.001173,0.000588,-0.00022,0.000115,0.000428,0.000362,0.000030,0.000588,0.000385,-0.00044,-0.00023,0.000102,-0.00010,-0.00023,0.000032,-0.00038,-0.00005,0.000044,0.000047,0.000022,-4.01E-7,-0.00069,-0.00032,0.000017,-0.00029,-0.00031,-0.00007,0.000030,-0.00044,-0.00023,0.000058,-3.16E-6,-0.00001,0.000158,0.000052,-6.88E-6,1.136E-6,4.276E-8,-1.41E-6,-3.87E-7,-1.42E-6,-1.16E-6,-2.34E-6,-3.08E-6,-3.11E-6,1.614E-6,2.11E-6,-1.28E-6,-2.36E-6,-5.63E-7,1.505E-7,1.514E-7,3.147E-6,2.933E-6,-4.41E-7,2.214E-6,-4.37E-6
8,"UN(4,2)",0.000057,0.000223,0.000947,0.000113,0.000298,-0.00002,0.000588,0.001425,-0.00005,0.000265,0.000225,0.000868,0.000239,0.001173,0.000774,-0.00024,-0.00072,-0.00009,-0.00059,-0.00064,0.000412,-0.00020,-0.00014,0.000075,0.000055,0.000033,-0.00001,-0.00031,-0.00056,0.000106,0.000081,-0.00022,-0.00013,0.000062,-0.00040,-0.00024,0.000069,-5.64E-6,-0.00002,0.000206,0.000066,-6.69E-6,1.134E-6,1.104E-7,-4.39E-6,-6.76E-7,-3.71E-6,-2.47E-6,-4.52E-6,-8.08E-7,8.478E-7,5.177E-6,1.881E-6,-7.92E-7,-3.37E-6,-8.68E-6,2.16E-6,6.622E-8,6.388E-6,5.113E-6,7.213E-6,4.753E-6,-0.00001
9,"UN(4,3)",0.000018,-0.00011,-0.00004,-0.00003,0.000249,0.000343,-0.00022,-0.00005,0.000832,0.000166,-0.00010,-0.00008,0.000244,-0.00017,-0.00013,0.000109,-0.00011,-0.00040,-0.00038,-0.00006,0.000306,1.951E-6,0.000031,-0.00001,-0.00012,0.000021,0.000061,0.000015,0.000110,-0.00041,0.000078,0.000056,0.000019,-0.00013,0.000197,0.000108,0.000019,-6.28E-6,3.188E-7,0.000049,0.000013,8.459E-7,1.733E-7,-7.04E-7,-1.61E-6,-5.35E-8,-1.88E-6,-2.69E-6,-9.98E-7,-2.22E-6,-3.88E-6,1.894E-6,-3.18E-7,-1.7E-6,2.679E-7,-2.03E-6,-1.86E-6,1.105E-7,3.019E-6,3.756E-6,8.453E-6,1.26E-6,-4.88E-6
10,"UN(4,4)",0.000044,-0.00003,0.000144,-0.00002,0.000100,0.000069,0.000115,0.000265,0.000166,0.001134,0.000030,0.000102,0.000066,0.000371,0.000129,0.000012,-0.00016,-0.00011,-0.00033,-0.00012,0.000171,-0.00009,0.000019,-4.95E-6,0.000020,-5.5E-6,-5.32E-6,-0.00029,0.000065,0.000072,-0.00095,-0.00009,0.000019,0.000020,-0.00028,-0.00009,8.422E-6,-8.56E-7,-9.16E-7,0.000015,6.471E-6,4.054E-7,-4.88E-7,-1.32E-7,1.741E-6,-7.1E-8,1.183E-6,7.158E-7,8.018E-7,-2.36E-6,-2.44E-6,-9.46E-6,-8.83E-7,9.674E-7,6.827E-7,2.792E-7,-6.39E-7,6.265E-7,-2.29E-6,-1.44E-6,5.171E-6,-3.17E-7,1.913E-6
