CovParm,Subject,Estimate
"UN(1,1)",Line,0.06642
"UN(2,1)",Line,-0.03294
"UN(2,2)",Line,0.01407
"UN(3,1)",Line,-0.07476
"UN(3,2)",Line,0.07108
"UN(3,3)",Line,0.2358
"UN(4,1)",Line,-0.01104
"UN(4,2)",Line,-0.00967
"UN(4,3)",Line,-0.04552
"UN(4,4)",Line,0.07119
"UN(5,1)",Line,0.01677
"UN(5,2)",Line,-0.02795
"UN(5,3)",Line,-0.00901
"UN(5,4)",Line,0.02444
"UN(5,5)",Line,0.01018
"UN(6,1)",Line,0.08508
"UN(6,2)",Line,-0.05711
"UN(6,3)",Line,-0.1735
"UN(6,4)",Line,0.01555
"UN(6,5)",Line,-0.02010
"UN(6,6)",Line,0.1610
"UN(1,1)",Vial(Treat*Line),0.06039
"UN(2,1)",Vial(Treat*Line),0.007934
"UN(2,2)",Vial(Treat*Line),0.07458
"UN(3,1)",Vial(Treat*Line),0.05637
"UN(3,2)",Vial(Treat*Line),-0.01584
"UN(3,3)",Vial(Treat*Line),0.02949
"UN(4,1)",Vial(Treat*Line),-0.01673
"UN(4,2)",Vial(Treat*Line),0.02360
"UN(4,3)",Vial(Treat*Line),-0.00668
"UN(4,4)",Vial(Treat*Line),0.004783
"UN(5,1)",Vial(Treat*Line),-0.00397
"UN(5,2)",Vial(Treat*Line),0.06525
"UN(5,3)",Vial(Treat*Line),-0.00191
"UN(5,4)",Vial(Treat*Line),-0.00360
"UN(5,5)",Vial(Treat*Line),0.04336
"UN(6,1)",Vial(Treat*Line),-0.05369
"UN(6,2)",Vial(Treat*Line),0.01119
"UN(6,3)",Vial(Treat*Line),-0.02980
"UN(6,4)",Vial(Treat*Line),-0.01641
"UN(6,5)",Vial(Treat*Line),-0.00742
"UN(6,6)",Vial(Treat*Line),0.06906
"UN(1,1)",Anim(Trea*Line*Vial),0.3529
"UN(2,1)",Anim(Trea*Line*Vial),0.1004
"UN(2,2)",Anim(Trea*Line*Vial),0.7245
"UN(3,1)",Anim(Trea*Line*Vial),-0.00754
"UN(3,2)",Anim(Trea*Line*Vial),0.006066
"UN(3,3)",Anim(Trea*Line*Vial),0.8282
"UN(4,1)",Anim(Trea*Line*Vial),0.008508
"UN(4,2)",Anim(Trea*Line*Vial),-0.01763
"UN(4,3)",Anim(Trea*Line*Vial),-0.07050
"UN(4,4)",Anim(Trea*Line*Vial),0.7253
"UN(5,1)",Anim(Trea*Line*Vial),0.09521
"UN(5,2)",Anim(Trea*Line*Vial),0.4805
"UN(5,3)",Anim(Trea*Line*Vial),-0.2642
"UN(5,4)",Anim(Trea*Line*Vial),0.08519
"UN(5,5)",Anim(Trea*Line*Vial),0.7368
"UN(6,1)",Anim(Trea*Line*Vial),-0.08250
"UN(6,2)",Anim(Trea*Line*Vial),-0.1557
"UN(6,3)",Anim(Trea*Line*Vial),-0.2836
"UN(6,4)",Anim(Trea*Line*Vial),-0.1457
"UN(6,5)",Anim(Trea*Line*Vial),-0.1370
"UN(6,6)",Anim(Trea*Line*Vial),0.7941
