Row,CovParm,CovP1,CovP2,CovP3,CovP4,CovP5,CovP6,CovP7,CovP8,CovP9,CovP10,CovP11,CovP12,CovP13,CovP14,CovP15,CovP16,CovP17,CovP18,CovP19,CovP20,CovP21,CovP22,CovP23,CovP24,CovP25,CovP26,CovP27,CovP28,CovP29,CovP30,CovP31,CovP32,CovP33,CovP34,CovP35,CovP36,CovP37,CovP38,CovP39,CovP40,CovP41,CovP42,CovP43,CovP44,CovP45,CovP46,CovP47,CovP48,CovP49,CovP50,CovP51,CovP52,CovP53,CovP54,CovP55,CovP56,CovP57,CovP58,CovP59,CovP60,CovP61,CovP62,CovP63
1,"UN(1,1)",0.007179,0.000590,0.000037,-0.00013,-5.39E-6,5.159E-6,-0.00023,-4.16E-6,0.000012,0.000016,0.001845,0.000148,-0.00003,-0.00004,0.000478,-0.00326,-0.00026,0.000066,0.000107,-0.00083,0.001484,-0.00114,-0.00021,0,-0.00009,-0.00002,0,-0.00012,-0.00003,-8.82E-6,-7.24E-6,-0.00046,-0.00006,-0.00004,-0.00006,-0.00016,0.000448,0.000068,0.000033,0.000050,0.000168,-0.00017,-6.75E-7,-4.21E-6,-0.00002,3.208E-7,1.652E-6,-3.9E-6,5.651E-7,3.275E-6,-3.91E-7,-4.57E-7,-2.76E-6,-0.00002,2.283E-6,2.203E-6,-0.00001,1.144E-6,6.685E-6,6.179E-7,-8.65E-7,4.044E-6,-2.17E-6
2,"UN(2,1)",0.000590,0.001072,0.000135,0.000367,0.000015,-0.00002,-0.00012,-0.00002,-0.00002,-9.88E-6,0.000869,0.000315,0.000083,-0.00004,0.000398,-0.00088,-0.00051,-0.00016,0.000064,-0.00053,0.000669,-0.00021,-0.00034,0,-0.00002,-0.00003,0,0.000083,-0.00005,5.131E-6,0.000032,-0.00030,-0.00009,-0.00003,-0.00002,-0.00014,0.000205,0.000109,0.000018,-4.69E-6,0.000133,-0.00011,-2.36E-6,-0.00001,-0.00008,8.241E-7,4.586E-6,-1.57E-6,1.822E-6,0.000010,-6.78E-7,-1.43E-6,-8.79E-6,-0.00005,3.408E-6,6.831E-6,-0.00003,3.778E-6,0.000022,-9.22E-7,-2.92E-6,0.000014,-6.17E-6
3,"UN(2,2)",0.000037,0.000135,0.000493,0.000053,0.000194,0.000079,-0.00001,-0.00004,-0.00002,4.69E-6,0.000102,0.000369,0.000145,-0.00003,0.000276,-0.00010,-0.00037,-0.00015,0.000031,-0.00027,0.000274,-2.61E-6,-5.36E-6,0,-1.02E-6,-4.33E-6,0,2.698E-6,6.349E-6,8.875E-7,-2.73E-6,-5.18E-6,-5.38E-6,-3.07E-6,5.737E-6,-7.77E-6,4.273E-6,8.887E-6,1.658E-6,-4.4E-6,8.521E-6,-6.99E-6,-7.54E-6,-0.00004,-0.00024,2.522E-6,0.000014,-8.29E-7,5.848E-6,0.000033,-1.95E-6,-4.54E-6,-0.00003,-0.00016,9.375E-6,0.000022,-0.00010,0.000012,0.000069,-4.05E-6,-9.38E-6,0.000045,-0.00002
4,"UN(3,1)",-0.00013,0.000367,0.000053,0.002853,0.000219,-0.00014,7.802E-7,-0.00001,-0.00010,3.791E-6,-0.00005,0.000083,0.000727,-1.95E-6,-0.00003,-0.00177,-0.00031,-0.00125,0.000075,-0.00044,0.001650,-0.00009,-0.00002,0,-0.00033,-0.00006,0,-0.00003,-8.61E-6,-0.00003,-4.31E-6,0.000059,0.000013,-0.00014,-5.68E-6,0.000070,0.000107,0.000021,0.000125,0.000019,7.621E-6,-0.00007,-1.21E-7,-6.65E-7,-3.75E-6,5.915E-7,2.019E-6,-0.00003,1.185E-7,5.916E-7,-1.53E-6,-1.47E-7,-6.07E-7,-3.02E-6,0.000010,8.621E-7,-5.2E-6,2.519E-8,5.424E-7,7.514E-6,2.593E-7,-2.04E-6,-2.3E-6
5,"UN(3,2)",-5.39E-6,0.000015,0.000194,0.000219,0.000862,0.000589,-2.19E-7,-3.09E-6,-0.00009,-5.07E-6,-0.00002,0.000046,0.000621,0.000012,-0.00004,-0.00012,-0.00057,-0.00079,0.000044,-0.00036,0.000735,-0.00002,-0.00003,0,-0.00006,-0.00021,0,1.488E-6,-0.00002,0.000062,0.000012,-2.6E-6,0.000057,-0.00017,-0.00003,0.000091,0.000029,0.000052,0.000102,-6.05E-6,0.000014,-0.00005,-3.69E-7,-2.09E-6,-0.00001,3.262E-7,1.371E-6,-0.00001,2.961E-7,1.654E-6,-6.86E-7,-2.52E-7,-1.43E-6,-7.96E-6,4.36E-6,1.267E-6,-6.44E-6,5.316E-7,3.152E-6,2.715E-6,-2.98E-7,1.137E-6,-1.71E-6
6,"UN(3,3)",5.159E-6,-0.00002,0.000079,-0.00014,0.000589,0.004384,1.183E-6,-4.02E-6,-0.00003,3.147E-7,-6.99E-7,6.032E-7,2.046E-6,-3.46E-7,9.011E-7,0.000095,-0.00038,-0.00286,0.000019,-2.76E-6,0.001868,-5.87E-7,-2.03E-7,0,-5.05E-6,-3.97E-6,0,-3.79E-7,-2.38E-7,-8.33E-7,-1.16E-7,1.249E-6,1.165E-6,-4.3E-6,-2.08E-8,2.519E-6,1.402E-6,1.103E-6,5.734E-7,2.514E-7,1.023E-6,-3.33E-7,-7.43E-8,-2.49E-7,-8.29E-7,3.947E-6,0.000013,-0.00021,2.073E-7,6.971E-7,-0.00001,-5.77E-7,-1.41E-6,-4.76E-6,0.000075,3.933E-6,-0.00003,-1.05E-6,-3.54E-6,0.000056,2.925E-6,-0.00002,-0.00001
7,"UN(4,1)",-0.00023,-0.00012,-0.00001,7.802E-7,-2.19E-7,1.183E-6,0.001444,0.000123,-0.00002,-0.00007,0.000187,-4.37E-6,1.274E-7,0.000376,0.000124,-0.00029,0.000013,7.743E-6,-0.00064,-0.00019,0.000315,-0.00012,0.000083,0,-0.00003,1.734E-6,0,-0.00041,-0.00006,-0.00003,-0.00008,-0.00010,-3.02E-6,-0.00002,-0.00016,-0.00008,0.000122,-3.56E-6,0.000018,0.000166,0.000082,-0.00008,6.893E-7,3.967E-6,0.000023,-1.87E-7,-1.18E-6,-2.25E-6,-5.41E-7,-3.09E-6,6.307E-8,4.007E-7,2.588E-6,0.000015,-3.82E-8,-1.98E-6,9.376E-6,-1.13E-6,-6.42E-6,9.929E-7,9.059E-7,-4.4E-6,1.637E-6
8,"UN(4,2)",-4.16E-6,-0.00002,-0.00004,-0.00001,-3.09E-6,-4.02E-6,0.000123,0.000451,0.000138,-0.00012,0.000019,0.000075,0.000025,0.000324,0.000141,-0.00002,-0.00011,-0.00004,-0.00029,-0.00015,0.000165,-0.00003,-0.00005,0,-8.4E-6,-0.00002,0,-0.00006,-0.00024,-5.79E-6,0.000142,-0.00007,-0.00009,-0.00002,-0.00016,-0.00015,0.000056,0.000090,0.000014,0.000095,0.000119,-0.00009,2.233E-6,0.000013,0.000072,-7.26E-7,-4.18E-6,-8.02E-7,-1.74E-6,-9.89E-6,5.341E-7,1.318E-6,8.294E-6,0.000047,-2.4E-6,-6.44E-6,0.000031,-3.59E-6,-0.00002,1.473E-6,2.805E-6,-0.00001,5.672E-6
9,"UN(4,3)",0.000012,-0.00002,-0.00002,-0.00010,-0.00009,-0.00003,-0.00002,0.000138,0.001120,5.356E-6,-4.64E-6,0.000029,0.000161,-0.00003,-7.95E-6,0.000076,0.000011,-0.00026,-0.00069,-0.00009,0.000330,-8.9E-6,4.92E-6,0,-0.00003,0.000062,0,-0.00003,-5.63E-6,-0.00024,-0.00004,-3.46E-7,-0.00002,-0.00004,0.000053,0.000017,0.000016,-0.00001,0.000050,0.000069,3.125E-6,-0.00003,1.042E-7,6.065E-7,3.49E-6,2.728E-7,8.388E-7,-0.00002,-6.47E-8,-4.21E-7,-8.78E-7,2.831E-8,2.972E-7,1.949E-6,5.85E-6,1.303E-8,-6.21E-7,-2.59E-7,-1.28E-6,4.522E-6,3.758E-7,-2.25E-6,-9.06E-7
10,"UN(4,4)",0.000016,-9.88E-6,4.69E-6,3.791E-6,-5.07E-6,3.147E-7,-0.00007,-0.00012,5.356E-6,0.001211,-0.00001,-0.00003,8.512E-7,0.000182,0.000015,0.000020,0.000039,-2.35E-7,-0.00029,-0.00003,0.000064,-7.21E-6,0.000033,0,-4.38E-6,0.000011,0,-0.00008,0.000141,-0.00004,-0.00059,-4.29E-6,0.000056,-5.77E-6,-0.00011,7.281E-6,0.000012,-0.00005,7.176E-6,0.000139,7.721E-6,-0.00002,-6.63E-7,-3.76E-6,-0.00002,2.452E-7,1.34E-6,-1.36E-6,5.053E-7,2.901E-6,-2.26E-7,-4.97E-7,-2.47E-6,-0.00001,1.281E-6,1.935E-6,-9.31E-6,1.058E-6,6.016E-6,-1.43E-8,-7.8E-7,3.824E-6,-1.8E-6
