CovParm,Subject,Estimate
"UN(1,1)",Line,0.1211
"UN(2,1)",Line,-0.02514
"UN(2,2)",Line,0.09795
"UN(3,1)",Line,-0.08962
"UN(3,2)",Line,-0.00775
"UN(3,3)",Line,0.1821
"UN(4,1)",Line,0.01003
"UN(4,2)",Line,0.01165
"UN(4,3)",Line,-0.01953
"UN(4,4)",Line,0.06104
"UN(5,1)",Line,0.004668
"UN(5,2)",Line,0.08817
"UN(5,3)",Line,-0.04783
"UN(5,4)",Line,0.01286
"UN(5,5)",Line,0.1143
"UN(6,1)",Line,0.05626
"UN(6,2)",Line,-0.02265
"UN(6,3)",Line,-0.09917
"UN(6,4)",Line,-0.01871
"UN(6,5)",Line,-0.02518
"UN(6,6)",Line,0.1046
"UN(1,1)",Vial(Treat*Line),0.05901
"UN(2,1)",Vial(Treat*Line),0.02620
"UN(2,2)",Vial(Treat*Line),0.03762
"UN(3,1)",Vial(Treat*Line),0.006096
"UN(3,2)",Vial(Treat*Line),-0.00825
"UN(3,3)",Vial(Treat*Line),0.01234
"UN(4,1)",Vial(Treat*Line),0.006078
"UN(4,2)",Vial(Treat*Line),0.004227
"UN(4,3)",Vial(Treat*Line),0.02209
"UN(4,4)",Vial(Treat*Line),0.01841
"UN(5,1)",Vial(Treat*Line),0.04950
"UN(5,2)",Vial(Treat*Line),0.03543
"UN(5,3)",Vial(Treat*Line),-0.01311
"UN(5,4)",Vial(Treat*Line),0.008855
"UN(5,5)",Vial(Treat*Line),0.05932
"UN(6,1)",Vial(Treat*Line),0.006773
"UN(6,2)",Vial(Treat*Line),0.004949
"UN(6,3)",Vial(Treat*Line),-0.01581
"UN(6,4)",Vial(Treat*Line),-0.00067
"UN(6,5)",Vial(Treat*Line),0.05114
"UN(6,6)",Vial(Treat*Line),0
"UN(1,1)",Anim(Trea*Line*Vial),0.6061
"UN(2,1)",Anim(Trea*Line*Vial),0.2102
"UN(2,2)",Anim(Trea*Line*Vial),0.8005
"UN(3,1)",Anim(Trea*Line*Vial),0.07186
"UN(3,2)",Anim(Trea*Line*Vial),0.03535
"UN(3,3)",Anim(Trea*Line*Vial),0.6598
"UN(4,1)",Anim(Trea*Line*Vial),-0.00897
"UN(4,2)",Anim(Trea*Line*Vial),-0.02377
"UN(4,3)",Anim(Trea*Line*Vial),-0.05509
"UN(4,4)",Anim(Trea*Line*Vial),0.6488
"UN(5,1)",Anim(Trea*Line*Vial),0.1868
"UN(5,2)",Anim(Trea*Line*Vial),0.5951
"UN(5,3)",Anim(Trea*Line*Vial),-0.1946
"UN(5,4)",Anim(Trea*Line*Vial),0.07860
"UN(5,5)",Anim(Trea*Line*Vial),0.8009
"UN(6,1)",Anim(Trea*Line*Vial),-0.1509
"UN(6,2)",Anim(Trea*Line*Vial),-0.2243
"UN(6,3)",Anim(Trea*Line*Vial),-0.2626
"UN(6,4)",Anim(Trea*Line*Vial),-0.05387
"UN(6,5)",Anim(Trea*Line*Vial),-0.2041
"UN(6,6)",Anim(Trea*Line*Vial),0.7998
