Row,CovParm,CovP1,CovP2,CovP3,CovP4,CovP5,CovP6,CovP7,CovP8,CovP9,CovP10,CovP11,CovP12,CovP13,CovP14,CovP15,CovP16,CovP17,CovP18,CovP19,CovP20,CovP21,CovP22,CovP23,CovP24,CovP25,CovP26,CovP27,CovP28,CovP29,CovP30,CovP31,CovP32,CovP33,CovP34,CovP35,CovP36,CovP37,CovP38,CovP39,CovP40,CovP41,CovP42,CovP43,CovP44,CovP45,CovP46,CovP47,CovP48,CovP49,CovP50,CovP51,CovP52,CovP53,CovP54,CovP55,CovP56,CovP57,CovP58,CovP59,CovP60,CovP61,CovP62,CovP63
1,"UN(1,1)",0.004540,0.001866,0.000785,0.000595,0.000243,0.000074,0.000171,0.000053,0.000020,0.000021,0.002060,0.000880,0.000267,0.000047,0.000995,-0.00267,-0.00111,-0.00035,-0.00009,-0.00123,0.001588,-0.00255,-0.00133,-0.00070,-0.00032,-0.00017,-0.00004,0.000098,0.000054,0.000016,0,-0.00166,-0.00087,-0.00020,0.000066,-0.00108,0.001615,0.000847,0.000204,-0.00007,0.001050,-0.00104,-0.00001,-4.58E-6,7.171E-7,-9.96E-7,-4.35E-7,6.442E-7,4.803E-6,8.981E-7,-2.92E-7,-1.91E-6,1.03E-6,3.747E-6,-1.88E-6,1.385E-6,7.132E-6,8.086E-6,7.123E-8,-1.9E-7,-2.24E-7,-1.57E-6,-6E-7
2,"UN(2,1)",0.001866,0.002131,0.001406,0.000835,0.000506,0.000183,0.000372,0.000213,0.000086,0.000042,0.001870,0.001359,0.000482,0.000203,0.001301,-0.00208,-0.00163,-0.00061,-0.00027,-0.00151,0.001788,-0.00131,-0.00121,-0.00090,-0.00028,-0.00021,-0.00005,-0.00010,-0.00004,-6.44E-6,0,-0.00126,-0.00100,-0.00024,-0.00005,-0.00108,0.001125,0.000910,0.000220,0.000058,0.000983,-0.00091,-0.00001,-1.59E-6,-2.01E-6,-1.53E-6,-1.79E-7,2.79E-7,7.941E-8,2.671E-6,1.173E-7,4.261E-6,-2.02E-6,3.701E-6,-1.41E-6,2.393E-6,6.659E-6,2.665E-6,1.542E-6,-1.3E-7,-1.2E-6,-6.07E-7,1.226E-6
3,"UN(2,2)",0.000785,0.001406,0.002663,0.000552,0.001137,0.000513,0.000273,0.000541,0.000242,0.000102,0.001174,0.002176,0.000901,0.000429,0.001792,-0.00123,-0.00236,-0.00101,-0.00048,-0.00191,0.002089,-0.00067,-0.00088,-0.00116,-0.00021,-0.00027,-0.00006,-0.00013,-0.00017,-0.00004,0,-0.00085,-0.00112,-0.00026,-0.00015,-0.00108,0.000726,0.000955,0.000224,0.000130,0.000916,-0.00079,-8.69E-6,-6.63E-6,0.000013,-2.27E-6,7.221E-7,-9.82E-7,-2.11E-6,-1.27E-6,-4.23E-7,-0.00001,-6.32E-6,9.337E-6,-4.06E-7,-2.45E-6,6.477E-6,3.825E-6,-6.94E-6,-1.48E-7,1.836E-6,-4.75E-6,5.136E-6
4,"UN(3,1)",0.000595,0.000835,0.000552,0.002176,0.000928,0.000565,0.000113,0.000077,0.000130,0.000020,0.000442,0.000404,0.000934,0.000061,0.000223,-0.00195,-0.00109,-0.00147,-0.00017,-0.00089,0.002041,-0.00030,-0.00028,-0.00022,-0.00067,-0.00036,-0.00017,-5.44E-8,3.51E-6,0.000025,0,-0.00008,-0.00013,-0.00042,-8E-6,0.000018,0.000395,0.000290,0.000439,-5.17E-6,0.000192,-0.00038,-8.98E-6,3.562E-6,6.426E-6,-0.00001,-4.6E-6,-2.87E-7,1.616E-6,4.506E-8,2.486E-6,1.641E-6,2.058E-6,6.095E-6,-8.54E-7,-8.64E-7,2.583E-6,-3.53E-6,-5.9E-6,6.152E-6,-9.22E-7,-7.18E-6,4.068E-6
5,"UN(3,2)",0.000243,0.000506,0.001137,0.000928,0.001935,0.001510,0.000082,0.000203,0.000399,0.000040,0.000299,0.000708,0.001467,0.000121,0.000392,-0.00087,-0.00193,-0.00216,-0.00039,-0.00135,0.002550,-0.00015,-0.00021,-0.00028,-0.00035,-0.00046,-0.00021,-0.00002,-0.00002,-0.00006,0,-0.00009,-0.00012,-0.00041,-1.54E-6,0.000019,0.000233,0.000317,0.000401,0.000033,0.000189,-0.00033,-4.63E-6,-3.6E-7,9.85E-6,-8.6E-6,-3.86E-6,-5.8E-7,-3.68E-7,2.834E-6,-1.7E-6,3.56E-7,-5.19E-9,7.381E-6,-3.94E-6,2.111E-6,5.341E-6,1.675E-6,-0.00001,1.502E-6,-1.05E-6,-8.53E-6,8.695E-6
6,"UN(3,3)",0.000074,0.000183,0.000513,0.000565,0.001510,0.004403,0.000025,0.000090,0.000253,0.000017,0.000073,0.000250,0.000734,0.000052,0.000132,-0.00046,-0.00132,-0.00384,-0.00024,-0.00067,0.003418,-0.00003,-0.00004,-0.00006,-0.00016,-0.00021,-0.00065,4.127E-6,2.339E-6,5.147E-6,0,0.000018,0.000016,0.000018,4.671E-6,0.000015,0.000057,0.000083,0.000300,-0.00001,-0.00003,-0.00012,-2.75E-6,-1.74E-6,4.144E-6,-4.33E-6,7.121E-6,-0.00003,-1.17E-6,-4.56E-7,3.923E-6,1.764E-6,-1.19E-6,7.391E-7,9.894E-6,-1.29E-6,-1.86E-6,2.934E-6,-5.53E-6,-7.35E-6,-2.82E-6,-1.23E-6,0.000012
7,"UN(4,1)",0.000171,0.000372,0.000273,0.000113,0.000082,0.000025,0.001101,0.000472,0.000157,0.000105,0.000430,0.000322,0.000092,0.000520,0.000395,-0.00052,-0.00040,-0.00012,-0.00066,-0.00047,0.000572,0.000083,-0.00010,-0.00013,2.08E-8,-0.00002,7.065E-8,-0.00064,-0.00034,-0.00009,0,-0.00029,-0.00025,-0.00005,-0.00043,-0.00041,0.000306,0.000260,0.000053,0.000403,0.000426,-0.00044,9.204E-7,6.599E-8,5.727E-7,-1.71E-6,-5.53E-7,4.532E-7,-3.49E-6,-3.54E-6,2.903E-7,0.000024,1.515E-6,8.438E-7,-1.35E-6,4.109E-6,3.395E-6,2.869E-6,4.314E-7,4.407E-7,1.652E-6,-5.89E-7,-1.68E-6
8,"UN(4,2)",0.000053,0.000213,0.000541,0.000077,0.000203,0.000090,0.000472,0.000867,0.000363,0.000266,0.000230,0.000517,0.000180,0.000708,0.000499,-0.00027,-0.00059,-0.00023,-0.00077,-0.00055,0.000618,0.000044,-0.00004,-0.00017,2.166E-6,-0.00002,2.846E-6,-0.00033,-0.00042,-0.00010,0,-0.00014,-0.00029,-0.00005,-0.00039,-0.00039,0.000151,0.000285,0.000056,0.000327,0.000367,-0.00035,7.881E-7,-5.8E-7,2.477E-6,-7.13E-7,-1.53E-6,-4.99E-7,-6E-6,1.527E-6,-1.55E-6,-0.00006,-5.53E-7,4.068E-6,-1.67E-6,-5.1E-6,4.276E-6,2.505E-6,6.048E-7,9.935E-7,8.802E-6,4.515E-7,-1.57E-6
9,"UN(4,3)",0.000020,0.000086,0.000242,0.000130,0.000399,0.000253,0.000157,0.000363,0.001018,0.000087,0.000079,0.000177,0.000380,0.000165,0.000095,-0.00018,-0.00046,-0.00055,-0.00086,-0.00035,0.000718,9.714E-6,-5.83E-6,-0.00004,0.000022,-0.00006,6.206E-6,-0.00008,-0.00011,-0.00032,0,-0.00004,-0.00005,-0.00017,-8.23E-8,6.527E-7,0.000032,0.000088,0.000166,0.000162,0.000086,-0.00017,1.016E-6,-1.07E-6,1.383E-6,-4.17E-7,1.838E-7,-2.68E-6,-9.02E-7,3.407E-6,-7.76E-6,3.086E-6,-1.29E-6,1.68E-6,1.053E-6,3.316E-6,5.305E-7,1.517E-6,-2.71E-6,3.453E-6,-5.55E-6,-3.79E-6,2.492E-6
10,"UN(4,4)",0.000021,0.000042,0.000102,0.000020,0.000040,0.000017,0.000105,0.000266,0.000087,0.000713,0.000031,0.000085,0.000027,0.000235,0.000077,-0.00004,-0.00011,-0.00004,-0.00029,-0.00009,0.000117,-1.41E-6,-2.06E-7,-8.75E-7,-8.51E-7,5.042E-6,3.915E-6,-7.05E-6,-5.39E-6,0.000030,0,-3.89E-7,-5.6E-6,7.961E-6,-0.00003,-0.00002,8.504E-7,4.096E-6,-0.00001,0.000016,0.000016,-0.00001,-6.57E-7,4.239E-7,-4.33E-7,9.999E-8,-2.44E-7,-3.89E-7,-6.83E-6,1.297E-6,-0.00001,-0.00028,-2.39E-7,-1.57E-7,-1.76E-6,-0.00002,-1.4E-6,6.61E-7,2.361E-7,2.444E-6,0.000049,4.35E-6,-9.08E-6
