Row,CovParm,CovP1,CovP2,CovP3,CovP4,CovP5,CovP6,CovP7,CovP8,CovP9,CovP10,CovP11,CovP12,CovP13,CovP14,CovP15,CovP16,CovP17,CovP18,CovP19,CovP20,CovP21,CovP22,CovP23,CovP24,CovP25,CovP26,CovP27,CovP28,CovP29,CovP30,CovP31,CovP32,CovP33,CovP34,CovP35,CovP36,CovP37,CovP38,CovP39,CovP40,CovP41,CovP42,CovP43,CovP44,CovP45,CovP46,CovP47,CovP48,CovP49,CovP50,CovP51,CovP52,CovP53,CovP54,CovP55,CovP56,CovP57,CovP58,CovP59,CovP60,CovP61,CovP62,CovP63
1,"UN(1,1)",0.002360,0.000189,0.000049,-0.00076,-0.00001,0.000318,0.000132,7.233E-6,-0.00005,7.615E-6,0.000621,0.000077,-0.00016,0.000032,0.000184,0.000424,9.248E-7,-0.00018,0.000027,0.000084,0.000106,-0.00065,-0.00025,-0.00009,-0.00007,-0.00003,-6.59E-6,-0.00002,-6.68E-6,-1.73E-6,-4.43E-7,-0.00033,-0.00012,-0.00004,-8.99E-6,-0.00016,0.000076,0.000027,4.773E-6,1.465E-6,0.000039,0,-4.71E-7,-2.89E-7,-3.78E-7,-2.65E-7,-4.41E-7,-5.33E-7,-8.42E-8,-1.02E-7,-1.14E-7,-2.3E-8,-2.75E-7,-3.44E-7,-3.98E-7,-9.28E-8,-3.14E-7,9.496E-7,1.391E-6,1.636E-6,3.445E-7,1.258E-6,-5E-6
2,"UN(2,1)",0.000189,0.001133,0.000193,-0.00005,-0.00035,0.000033,0.000062,0.000063,-0.00003,7.004E-6,0.000965,0.000376,-0.00031,0.000065,0.000493,-0.00023,0.000174,0.000068,8.809E-7,0.000101,-0.00009,-0.00025,-0.00040,-0.00027,-8.8E-6,-0.00004,3.983E-6,-3.51E-6,-9.47E-6,5.918E-7,7.043E-8,-0.00034,-0.00028,-0.00003,-7.81E-6,-0.00028,0.000080,0.000064,1.901E-7,7.299E-7,0.000068,0,-3.37E-7,-6.56E-7,-7.28E-7,-5.32E-7,-7.8E-7,-9.49E-7,-1.22E-7,-1.83E-7,-1.98E-7,-3.99E-8,-5.79E-7,-6.69E-7,-7.1E-7,-1.63E-7,-6.13E-7,1.701E-6,2.469E-6,2.88E-6,6.002E-7,2.236E-6,-8.77E-6
3,"UN(2,2)",0.000049,0.000193,0.002090,-5.21E-6,-0.00009,1.352E-6,3.667E-6,0.000107,-5.46E-6,6.629E-6,0.000156,0.001746,-0.00007,0.000091,0.001458,-0.00004,-0.00043,0.000024,-0.00002,-0.00037,0.000079,-0.00009,-0.00027,-0.00076,4.993E-6,0.000012,5.177E-6,1.021E-7,-4.23E-8,8.866E-7,1.463E-7,-0.00021,-0.00060,6.157E-6,-5.94E-7,-0.00047,0.000048,0.000139,-0.00001,-1.93E-6,0.000117,0,-5.3E-7,-8.52E-7,-1.75E-6,-9.49E-7,-1.41E-6,-1.66E-6,-2.02E-7,-3.07E-7,-3.44E-7,-7E-8,-7.73E-7,-1.54E-6,-1.28E-6,-2.75E-7,-1.35E-6,2.903E-6,4.448E-6,5.051E-6,1.044E-6,4.006E-6,-0.00002
4,"UN(3,1)",-0.00076,-0.00005,-5.21E-6,0.001513,0.000103,-0.00094,-0.00008,-2.99E-7,0.000104,-7.36E-6,-0.00048,-0.00004,0.000475,-0.00003,-0.00021,-0.00080,-0.00005,0.000518,-0.00006,-0.00025,-0.00029,-0.00007,-8.75E-6,5.044E-6,-0.00026,-0.00009,-0.00005,-0.00003,-8.84E-6,-8.84E-6,-1.21E-6,0.000075,0.000037,-0.00012,-9.97E-6,0.000094,0.000123,0.000039,0.000031,4.212E-6,0.000052,0,-5.2E-7,-8.26E-7,-1.24E-6,-1.2E-6,-1.5E-6,-1.68E-6,-1.64E-7,-2.91E-7,-3.64E-7,-7.19E-8,-6.87E-7,-1.12E-6,-1.37E-6,-2.58E-7,-9.98E-7,3.067E-6,4.453E-6,5.227E-6,1.073E-6,4.025E-6,-0.00002
5,"UN(3,2)",-0.00001,-0.00035,-0.00009,0.000103,0.001262,-0.00011,-0.00002,-0.00005,0.000073,-7.69E-6,-0.00032,-0.00041,0.001077,-0.00006,-0.00063,0.000034,-0.00065,-0.00023,-0.00003,-0.00048,0.000256,-0.00003,-0.00004,0.000012,-0.00009,-0.00027,0.000016,-8.97E-6,-0.00003,1.715E-6,2.287E-7,3.985E-6,0.000103,-0.00022,-0.00002,0.000159,0.000047,0.000118,0.000029,1.58E-6,0.000088,0,-9.64E-7,-1.44E-6,-2.18E-6,-1.75E-6,-2.85E-6,-3.01E-6,-3.45E-7,-4.76E-7,-6.25E-7,-1.28E-7,-1.3E-6,-1.89E-6,-2.55E-6,-4.35E-7,-1.65E-6,5.229E-6,7.886E-6,9.207E-6,1.869E-6,7.092E-6,-0.00003
6,"UN(3,3)",0.000318,0.000033,1.352E-6,-0.00094,-0.00011,0.003152,0.000054,4.651E-6,-0.00014,0.000010,0.000271,0.000033,-0.00093,0.000040,0.000276,0.000502,0.000068,-0.00164,0.000078,0.000485,0.000832,-6.38E-6,4.267E-6,5.557E-6,-0.00005,0.000016,-0.00038,-4.64E-6,2.29E-6,-0.00004,-3.28E-6,0.000020,-4.15E-6,0.000142,0.000014,-0.00005,0.000014,-0.00003,0.000150,0.000012,-0.00006,0,-1.77E-6,-2.64E-6,-3.94E-6,-3.08E-6,-4.63E-6,-6.03E-6,-6.37E-7,-9.51E-7,-1.03E-6,-2.39E-7,-2.4E-6,-3.56E-6,-4.01E-6,-8.87E-7,-3.26E-6,9.42E-6,0.000014,0.000017,3.359E-6,0.000013,-0.00005
7,"UN(4,1)",0.000132,0.000062,3.667E-6,-0.00008,-0.00002,0.000054,0.000769,0.000073,-0.00024,0.000084,0.000159,0.000026,-0.00005,0.000216,0.000077,-0.00012,6.187E-6,0.000030,0.000122,-7.18E-6,-0.00005,-0.00002,-3.5E-6,1.035E-7,-0.00003,-8.99E-6,-4.7E-6,-0.00026,-0.00010,-0.00003,-0.00001,-0.00005,-0.00002,-0.00002,-0.00013,-0.00004,0.000021,6.528E-6,3.156E-6,0.000031,0.000016,0,-1.11E-7,-1.47E-7,-2.1E-7,-1.24E-7,-2.31E-7,-2.8E-7,-1.99E-7,-6.66E-8,-3.55E-8,-3.25E-8,-1.54E-7,-1.92E-7,-2.04E-7,-6.91E-8,-1.77E-7,5.244E-7,7.384E-7,8.506E-7,1.834E-7,6.684E-7,-2.61E-6
8,"UN(4,2)",7.233E-6,0.000063,0.000107,-2.99E-7,-0.00005,4.651E-6,0.000073,0.000726,-0.00003,0.000073,0.000064,0.000180,-0.00005,0.000610,0.000225,-0.00002,-0.00013,0.000017,-0.00016,-0.00013,0.000047,-6.67E-6,-9.46E-6,-3.16E-8,-8.84E-6,-0.00003,2.214E-6,-0.00010,-0.00028,3.651E-6,-3.62E-7,-0.00002,-0.00005,-0.00002,-0.00022,-0.00008,8.337E-6,0.000020,1.282E-6,0.000054,0.000027,0,-1.68E-7,-2.55E-7,-3.73E-7,-2.73E-7,-3.71E-7,-4.93E-7,-7.64E-8,-3.11E-7,-1.01E-7,-3.31E-8,-2.31E-7,-3.65E-7,-3.41E-7,-2.63E-7,-3.5E-7,8.681E-7,1.321E-6,1.488E-6,3.705E-7,1.196E-6,-4.57E-6
9,"UN(4,3)",-0.00005,-0.00003,-5.46E-6,0.000104,0.000073,-0.00014,-0.00024,-0.00003,0.000872,-0.00006,-0.00007,-0.00003,0.000183,-0.00027,-0.00010,5.724E-6,-0.00003,-0.00011,-0.00045,-0.00004,0.000152,-1.7E-6,6.322E-7,9.383E-7,-8.82E-6,1.739E-6,-0.00004,-0.00003,3.663E-6,-0.00020,-0.00004,-2.64E-6,3.767E-7,-0.00003,0.000071,0.000026,3.451E-6,-3.91E-6,0.000018,0.000098,0.000012,0,-2.94E-7,-4.37E-7,-6.48E-7,-5.19E-7,-7.65E-7,-8.05E-7,-8.45E-8,-1.57E-7,-4.27E-7,4.403E-8,-3.88E-7,-5.83E-7,-7.36E-7,-6.94E-8,-5.08E-7,1.554E-6,2.31E-6,2.733E-6,6.504E-7,2.088E-6,-8.26E-6
10,"UN(4,4)",7.615E-6,7.004E-6,6.629E-6,-7.36E-6,-7.69E-6,0.000010,0.000084,0.000073,-0.00006,0.001000,0.000016,0.000014,-0.00001,0.000186,0.000035,-0.00001,-0.00001,0.000014,-0.00016,-0.00003,0.000028,-4.39E-7,7.583E-8,1.526E-7,-1.21E-6,2.288E-7,-3.3E-6,-0.00001,-3.62E-7,-0.00004,-0.00042,-2.48E-6,-1.15E-7,-6.9E-6,-0.00007,-0.00001,7.479E-7,-5.84E-7,1.991E-6,0.000032,5.717E-6,0,-4.8E-8,-7.11E-8,-1.06E-7,-8.31E-8,-1.25E-7,-1.55E-7,-3.61E-8,-3.74E-8,4.946E-8,-3.75E-7,-6.7E-8,-9.74E-8,-1.02E-7,-8.18E-8,-9.59E-8,2.567E-7,3.796E-7,4.356E-7,1.602E-7,3.525E-7,-1.36E-6
