CovParm,Subject,Estimate
"UN(1,1)",Line,0.04737
"UN(2,1)",Line,-0.02134
"UN(2,2)",Line,0.02339
"UN(3,1)",Line,-0.00879
"UN(3,2)",Line,0.05150
"UN(3,3)",Line,0.1230
"UN(4,1)",Line,-0.07298
"UN(4,2)",Line,0.009981
"UN(4,3)",Line,0.01885
"UN(4,4)",Line,0.03202
"UN(5,1)",Line,-0.00779
"UN(5,2)",Line,0.04868
"UN(5,3)",Line,0.06569
"UN(5,4)",Line,-0.02477
"UN(5,5)",Line,0.07308
"UN(6,1)",Line,0.04197
"UN(6,2)",Line,-0.04888
"UN(6,3)",Line,-0.09105
"UN(6,4)",Line,0.01098
"UN(6,5)",Line,-0.05615
"UN(6,6)",Line,0.07984
"UN(1,1)",Vial(Treat*Line),0.1133
"UN(2,1)",Vial(Treat*Line),0.001217
"UN(2,2)",Vial(Treat*Line),0.07183
"UN(3,1)",Vial(Treat*Line),0.006127
"UN(3,2)",Vial(Treat*Line),0.03461
"UN(3,3)",Vial(Treat*Line),0
"UN(4,1)",Vial(Treat*Line),0.07514
"UN(4,2)",Vial(Treat*Line),0.008902
"UN(4,3)",Vial(Treat*Line),0.03920
"UN(4,4)",Vial(Treat*Line),0
"UN(5,1)",Vial(Treat*Line),0.06571
"UN(5,2)",Vial(Treat*Line),0.06746
"UN(5,3)",Vial(Treat*Line),0.01706
"UN(5,4)",Vial(Treat*Line),0.008226
"UN(5,5)",Vial(Treat*Line),0.08671
"UN(6,1)",Vial(Treat*Line),-0.08847
"UN(6,2)",Vial(Treat*Line),-0.03414
"UN(6,3)",Vial(Treat*Line),-0.04223
"UN(6,4)",Vial(Treat*Line),-0.00820
"UN(6,5)",Vial(Treat*Line),-0.02825
"UN(6,6)",Vial(Treat*Line),0.1001
"UN(1,1)",Anim(Trea*Line*Vial),0.5613
"UN(2,1)",Anim(Trea*Line*Vial),0.2187
"UN(2,2)",Anim(Trea*Line*Vial),0.9097
"UN(3,1)",Anim(Trea*Line*Vial),0.008713
"UN(3,2)",Anim(Trea*Line*Vial),0.09632
"UN(3,3)",Anim(Trea*Line*Vial),0.9695
"UN(4,1)",Anim(Trea*Line*Vial),0.02459
"UN(4,2)",Anim(Trea*Line*Vial),-0.04596
"UN(4,3)",Anim(Trea*Line*Vial),-0.08210
"UN(4,4)",Anim(Trea*Line*Vial),0.9770
"UN(5,1)",Anim(Trea*Line*Vial),0.1501
"UN(5,2)",Anim(Trea*Line*Vial),0.5304
"UN(5,3)",Anim(Trea*Line*Vial),-0.2093
"UN(5,4)",Anim(Trea*Line*Vial),0.1388
"UN(5,5)",Anim(Trea*Line*Vial),0.7510
"UN(6,1)",Anim(Trea*Line*Vial),-0.1174
"UN(6,2)",Anim(Trea*Line*Vial),-0.2197
"UN(6,3)",Anim(Trea*Line*Vial),-0.3509
"UN(6,4)",Anim(Trea*Line*Vial),-0.1277
"UN(6,5)",Anim(Trea*Line*Vial),-0.1583
"UN(6,6)",Anim(Trea*Line*Vial),0.7771
