Row,CovParm,CovP1,CovP2,CovP3,CovP4,CovP5,CovP6,CovP7,CovP8,CovP9,CovP10,CovP11,CovP12,CovP13,CovP14,CovP15,CovP16,CovP17,CovP18,CovP19,CovP20,CovP21,CovP22,CovP23,CovP24,CovP25,CovP26,CovP27,CovP28,CovP29,CovP30,CovP31,CovP32,CovP33,CovP34,CovP35,CovP36,CovP37,CovP38,CovP39,CovP40,CovP41,CovP42,CovP43,CovP44,CovP45,CovP46,CovP47,CovP48,CovP49,CovP50,CovP51,CovP52,CovP53,CovP54,CovP55,CovP56,CovP57,CovP58,CovP59,CovP60,CovP61,CovP62,CovP63
1,"UN(1,1)",0.001030,-0.00008,0.000027,-0.00022,0.000062,0.000147,-0.00014,0.000013,0.000032,0.000021,0.000182,-0.00002,-0.00005,-0.00002,0.000034,0.000210,-0.00007,-0.00016,-0.00003,0.000045,0.000183,-0.00040,-0.00006,-4.86E-6,-0.00019,-0.00004,-0.00008,0.000050,9.357E-6,0.000023,-6.1E-6,-0.00003,2.137E-6,-0.00002,4.553E-6,5.128E-6,0.000221,0.000042,0.000097,-0.00003,0.000021,-0.00012,1.766E-6,-0.00002,-9.47E-6,0.000012,3.521E-6,-2.48E-7,2.207E-6,1.881E-6,-7.29E-7,-3.44E-7,-0.00002,-9.5E-6,3.457E-6,1.682E-6,-9.52E-6,-1.19E-6,3.491E-6,-2.62E-6,-6.91E-7,3.657E-6,4.075E-7
2,"UN(2,1)",-0.00008,0.000549,-0.00005,0.000227,-0.00010,-0.00016,0.000012,-0.00007,-0.00002,-4.12E-6,0.000261,0.000088,0.000031,-0.00004,0.000085,-0.00025,0.000090,0.000154,0.000026,-0.00004,-0.00015,-0.00009,-0.00033,-0.00009,-9.52E-6,-0.00016,0.000019,-0.00002,0.000035,-0.00001,7.433E-6,-0.00023,-0.00005,-0.00012,0.000027,-0.00002,0.000050,0.000183,4.907E-6,0.000011,0.000132,-0.00003,1.837E-6,-4.01E-8,-0.00003,5.812E-6,0.000013,4.295E-7,3.269E-7,3.537E-6,-1.44E-6,-1.11E-7,-2.15E-6,-0.00003,8.576E-6,3.063E-6,-0.00002,-4.25E-6,9.231E-7,-3.23E-6,1.713E-7,1.718E-6,1.616E-6
3,"UN(2,2)",0.000027,-0.00005,0.001140,-0.00006,0.000352,0.000204,6.611E-7,0.000016,-5.31E-6,8.14E-6,-4.02E-6,0.000606,0.000138,0.000016,0.000348,0.000063,-0.00038,-0.00020,9.492E-7,-0.00016,0.000203,-0.00002,-0.00013,-0.00098,3.311E-6,0.000031,-8.74E-6,-8.91E-6,-0.00008,0.000011,-0.00001,-0.00009,-0.00071,0.000027,-0.00006,-0.00052,0.000010,0.000074,1.829E-6,1.999E-6,0.000052,-5.23E-6,6.641E-7,3.466E-6,0.000010,2.287E-6,0.000016,1.191E-6,-4.98E-7,-1.34E-6,-8.09E-7,-4.78E-7,1.28E-6,6.751E-7,0.000010,-8.83E-7,-3.67E-6,-2.25E-6,-0.00002,-3.83E-6,1.133E-6,-8.27E-6,5.837E-6
4,"UN(3,1)",-0.00022,0.000227,-0.00006,0.001254,-0.00021,-0.00064,-0.00018,-5.77E-6,-0.00011,0.000054,-0.00017,0.000046,0.000238,-0.00002,-0.00005,-0.00083,0.000173,0.000551,0.000047,-0.00016,-0.00046,-0.00018,-4.4E-6,5.482E-6,-0.00031,-0.00002,-0.00028,0.000040,1.817E-6,0.000050,-7.63E-6,0.000058,7.025E-6,0.000030,-7.63E-6,3.109E-8,0.000175,9.165E-6,0.000221,-0.00003,-0.00003,-0.00014,7.914E-6,2.879E-6,7.271E-7,-8.47E-6,-0.00002,0.000027,2.741E-6,2.218E-6,2.24E-6,-3.39E-7,6.13E-6,7.204E-6,-0.00002,1.224E-6,0.000014,-1.8E-6,5.989E-6,-4.2E-6,-1.69E-6,5.634E-6,1.204E-6
5,"UN(3,2)",0.000062,-0.00010,0.000352,-0.00021,0.001248,0.001014,0.000028,-0.00019,-0.00008,7.069E-8,2.634E-6,-0.00008,0.000477,-0.00009,-0.00015,0.000161,-0.00082,-0.00086,0.000086,-0.00027,0.000692,-0.00004,-0.00014,0.000042,-0.00005,-0.00041,0.000016,-6.61E-6,0.000050,-0.00003,6.91E-6,-0.00009,0.000116,-0.00030,0.000042,0.000144,0.000040,0.000199,0.000024,0.000011,0.000139,-0.00003,2.001E-6,7.957E-6,6.91E-6,-2.68E-7,-0.00001,0.000016,4.894E-8,6.024E-6,7.134E-7,-1.62E-6,5.623E-6,0.000011,-0.00001,3.495E-6,0.000014,-2.43E-6,-3.46E-6,-7.86E-6,-5.05E-7,-5.31E-7,6.952E-6
6,"UN(3,3)",0.000147,-0.00016,0.000204,-0.00064,0.001014,0.005616,0.000117,-0.00017,-0.00095,0.000158,0.000049,-0.00010,-0.00064,0.000109,0.000079,0.000443,-0.00067,-0.00362,0.000609,0.000402,0.002341,-0.00007,0.000019,-7.55E-6,-0.00026,0.000030,-0.00066,0.000027,-3.48E-6,0.000076,-9.09E-6,0.000070,-8.85E-6,0.000151,-0.00002,-0.00003,0.000117,-0.00002,0.000332,-0.00004,-0.00008,-0.00016,-2.35E-7,-2.86E-7,8.054E-7,0.000018,8.705E-6,-0.00008,-1.2E-6,-1.39E-6,0.000016,-1.56E-6,-5.37E-6,-2.42E-6,0.000036,-6.07E-6,-0.00001,-6.7E-6,-3.68E-6,0.000013,-3.6E-6,-8.08E-6,2.019E-6
7,"UN(4,1)",-0.00014,0.000012,6.611E-7,-0.00018,0.000028,0.000117,0.000566,-0.00005,-0.00009,-0.00015,0.000089,-0.00001,-0.00007,0.000085,0.000038,-0.00007,-8.85E-6,-0.00007,0.000121,0.000025,0.000021,0.000054,-0.00002,-0.00001,0.000041,-7.62E-6,0.000029,-0.00022,-0.00002,-0.00011,0.000054,-9.49E-6,-4.49E-6,-6.19E-6,-4.68E-6,-2.88E-7,0.000055,0.000025,0.000016,0.000115,0.000013,-0.00008,-3.13E-6,2.406E-6,2.683E-6,1.302E-6,9.737E-7,-1.94E-6,-1.28E-6,-0.00002,0.000011,5.319E-6,-4.07E-8,4.895E-7,2.408E-6,-0.00002,-2.1E-6,1.215E-6,3.382E-6,-3.1E-6,-2.07E-6,4.09E-6,8.556E-7
8,"UN(4,2)",0.000013,-0.00007,0.000016,-5.77E-6,-0.00019,-0.00017,-0.00005,0.000560,0.000218,-3.58E-6,-0.00005,0.000101,-0.00004,0.000269,0.000080,0.000027,-0.00007,0.000081,-0.00022,-0.00009,0.000021,0.000012,0.000040,-0.00008,4.75E-6,0.000052,-2.47E-6,-0.00004,-0.00033,6.949E-6,-0.00004,0.000030,-0.00005,0.000035,-0.00023,-0.00003,0.000010,0.000109,-6.56E-6,0.000032,0.000078,-0.00002,-8.73E-7,-2.28E-6,7.362E-6,-1.47E-7,3.399E-6,-1.32E-6,1.57E-6,1.119E-7,6.165E-6,-7.35E-8,-1.5E-6,2.434E-6,2.911E-6,-1.67E-6,-1.16E-7,4.262E-7,-1.92E-7,-1.09E-6,-6.01E-6,-2.13E-7,2.243E-6
9,"UN(4,3)",0.000032,-0.00002,-5.31E-6,-0.00011,-0.00008,-0.00095,-0.00009,0.000218,0.001343,-0.00043,-0.00001,0.000047,0.000304,-0.00019,-0.00005,0.000099,-0.00001,0.000207,-0.00079,-0.00015,0.000110,0.000023,-0.00002,0.000011,0.000053,-0.00003,0.000077,-0.00010,0.000012,-0.00027,0.000059,-0.00002,0.000011,-0.00002,0.000061,5.639E-6,0.000012,0.000011,0.000071,0.000121,-0.00002,-0.00009,-8.2E-7,-9.44E-7,1.289E-7,-2.84E-6,6.199E-6,0.000011,7.699E-6,1.861E-6,-0.00002,0.000013,6.512E-7,-1.63E-6,-3.37E-6,0.000011,1.264E-6,-3.38E-7,-2.62E-6,4.665E-6,-3.62E-7,-2.45E-6,-2.02E-6
10,"UN(4,4)",0.000021,-4.12E-6,8.14E-6,0.000054,7.069E-8,0.000158,-0.00015,-3.58E-6,-0.00043,0.001173,-0.00003,-9.8E-7,-0.00009,0.000214,0.000044,0.000014,-1.69E-6,0.000031,-0.00011,-0.00001,0.000025,-7.5E-6,7.011E-6,-0.00001,-8.21E-6,7.397E-6,-8.82E-6,0.000061,-0.00004,0.000059,-0.00043,3.786E-6,-3.63E-6,3.231E-6,-0.00002,2.04E-7,-0.00002,0.000014,-0.00002,0.000145,6.945E-6,-0.00005,7.553E-7,3.042E-8,-6.02E-7,3.311E-7,-2.26E-6,-9E-7,-4.01E-6,8.365E-6,9.203E-6,-0.00001,5.678E-8,1.462E-6,-3.07E-8,-1.2E-6,9.54E-7,7.049E-7,-9.49E-7,-2.76E-6,3.001E-6,1.232E-6,-6.27E-7
11,"UN(5,1)",0.000182,0.000261,-4.02E-6,-0.00017,2.634E-6,0.000049,0.000089,-0.00005,-0.00001,-0.00003,0.000464,0.000020,-0.00008,-0.00004,0.000152,-0.00011,0.000012,0.000010,0.000053,0.000026,-0.00007,-0.00006,-0.00024,-0.00007,0.000052,-0.00011,0.000078,-8.35E-6,0.000029,-0.00002,3.636E-6,-0.00027,-0.00005,-0.00014,0.000035,-0.00002,0.000069,0.000141,-0.00002,2.23E-6,0.000159,-0.00006,1.488E-6,1.996E-6,-0.00002,6.948E-6,0.000014,-7.41E-6,-3.89E-6,-3.71E-7,-5.68E-7,8.118E-7,-2.18E-6,-0.00003,0.000018,5.45E-7,-0.00003,-4.81E-6,5.277E-7,-3.13E-6,5.617E-7,1.404E-6,2.175E-6
