"Gen"	"variable"	"V3"	"1_1"	"1_2"	"1_3"	"1_4"	"1_5"	"1_6"	"3_1"	"3_2"	"3_3"	"3_4"	"3_5"	"3_6"
"5"	"vl"	"2"	"0.027"	"0.044"	""	""	""	""	"-0.012"	"0.021"	""	""	""	""
"5"	"vl_ci"	"2"	"-0.048; 0.101"	"-0.012; 0.100"	""	""	""	""	"-0.064; 0.040"	"-0.031; 0.073"	""	""	""	""
"5"	"vl"	"3"	"-0.058"	"-0.020"	"0.224"	""	""	""	"-0.065"	"0.055"	"0.165"	""	""	""
"5"	"vl_ci"	"3"	"-0.157; 0.041"	"-0.097; 0.057"	"0.098; 0.348"	""	""	""	"-0.144; 0.013"	"-0.008; 0.120"	"0.056; 0.277"	""	""	""
"5"	"vl"	"4"	"-0.084"	"0.024"	"0.063"	"0.009"	""	""	"-0.055"	"0.010"	"0.027"	"0.088"	""	""
"5"	"vl_ci"	"4"	"-0.173; 0.006"	"-0.046; 0.092"	"-0.030; 0.155"	"-0.091; 0.105"	""	""	"-0.124; 0.011"	"-0.048; 0.067"	"-0.057; 0.109"	"0.015; 0.161"	""	""
"5"	"vl"	"5"	"0.027"	"0.051"	"-0.068"	"-0.015"	"0.091"	""	"0.002"	"0.005"	"0.010"	"0.012"	"0.005"	""
"5"	"vl_ci"	"5"	"-0.054; 0.109"	"-0.019; 0.119"	"-0.159; 0.022"	"-0.091; 0.060"	"0.016; 0.167"	""	"-0.044; 0.048"	"-0.035; 0.046"	"-0.047; 0.069"	"-0.039; 0.063"	"-0.028; 0.037"	""
"5"	"vl"	"6"	"0.043"	"-0.026"	"-0.183"	"-0.000"	"0.014"	"0.174"	"0.004"	"-0.040"	"-0.109"	"-0.000"	"-0.017"	"0.123"
"5"	"vl_ci"	"6"	"-0.048; 0.136"	"-0.099; 0.045"	"-0.303; -0.062"	"-0.081; 0.082"	"-0.063; 0.094"	"0.071; 0.278"	"-0.065; 0.077"	"-0.101; 0.021"	"-0.205; -0.012"	"-0.075; 0.073"	"-0.068; 0.036"	"0.032; 0.211"
"6"	"vl"	"1"	"0.066"	""	""	""	""	""	"0.091"	""	""	""	""	""
"6"	"vl_ci"	"1"	"0.013; 0.118"	""	""	""	""	""	"0.008; 0.174"	""	""	""	""	""
"6"	"vl"	"2"	"-0.033"	"0.014"	""	""	""	""	"0.004"	"0.084"	""	""	""	""
"6"	"vl_ci"	"2"	"-0.078; 0.013"	"-0.041; 0.069"	""	""	""	""	"-0.059; 0.065"	"0.028; 0.141"	""	""	""	""
"6"	"vl"	"3"	"-0.075"	"0.071"	"0.236"	""	""	""	"-0.002"	"0.070"	"0.190"	""	""	""
"6"	"vl_ci"	"3"	"-0.146; -0.006"	"0.001; 0.141"	"0.110; 0.360"	""	""	""	"-0.086; 0.083"	"-0.007; 0.148"	"0.067; 0.313"	""	""	""
"6"	"vl"	"4"	"-0.011"	"-0.010"	"-0.046"	"0.071"	""	""	"0.053"	"-0.007"	"0.080"	"0.014"	""	""
"6"	"vl_ci"	"4"	"-0.057; 0.035"	"-0.056; 0.036"	"-0.117; 0.026"	"0.015; 0.127"	""	""	"-0.004; 0.107"	"-0.052; 0.038"	"0.014; 0.146"	"-0.034; 0.061"	""	""
"6"	"vl"	"5"	"0.017"	"-0.028"	"-0.009"	"0.024"	"0.010"	""	"0.003"	"0.051"	"0.011"	"-0.018"	"0.077"	""
"6"	"vl_ci"	"5"	"-0.025; 0.059"	"-0.077; 0.022"	"-0.070; 0.053"	"-0.018; 0.066"	"-0.035; 0.056"	""	"-0.058; 0.063"	"-0.004; 0.106"	"-0.061; 0.086"	"-0.064; 0.026"	"0.023; 0.130"	""
"6"	"vl"	"6"	"0.085"	"-0.057"	"-0.173"	"0.016"	"-0.020"	"0.161"	"-0.048"	"-0.095"	"-0.133"	"-0.079"	"-0.048"	"0.155"
"6"	"vl_ci"	"6"	"0.019; 0.151"	"-0.122; 0.009"	"-0.288; -0.055"	"-0.050; 0.081"	"-0.079; 0.038"	"0.055; 0.264"	"-0.132; 0.037"	"-0.174; -0.018"	"-0.253; -0.015"	"-0.145; -0.013"	"-0.120; 0.025"	"0.040; 0.271"
