RandRep,Treat,Gen,CovParm,Subject,Estimate
751,1,1,"UN(1,1)",Line,0.2627
751,1,1,"UN(2,1)",Line,0.009174
751,1,1,"UN(2,2)",Line,0.06375
751,1,1,"UN(3,1)",Line,-0.02228
751,1,1,"UN(3,2)",Line,0.07728
751,1,1,"UN(3,3)",Line,0.09225
751,1,1,"UN(4,1)",Line,0.001428
751,1,1,"UN(4,2)",Line,0.01608
751,1,1,"UN(4,3)",Line,0.04278
751,1,1,"UN(4,4)",Line,0.1306
751,1,1,"UN(5,1)",Line,0.1024
751,1,1,"UN(5,2)",Line,0.04399
751,1,1,"UN(5,3)",Line,0.04875
751,1,1,"UN(5,4)",Line,0.02585
751,1,1,"UN(5,5)",Line,0.1324
751,1,1,"UN(6,1)",Line,0.008264
751,1,1,"UN(6,2)",Line,-0.08203
751,1,1,"UN(6,3)",Line,-0.09100
751,1,1,"UN(6,4)",Line,-0.05234
751,1,1,"UN(6,5)",Line,-0.07091
751,1,1,"UN(6,6)",Line,0.1143
751,1,1,"UN(1,1)",Vial(Treat*Line),0.1514
751,1,1,"UN(2,1)",Vial(Treat*Line),-0.03498
751,1,1,"UN(2,2)",Vial(Treat*Line),0.03006
751,1,1,"UN(3,1)",Vial(Treat*Line),0.01320
751,1,1,"UN(3,2)",Vial(Treat*Line),-0.01977
751,1,1,"UN(3,3)",Vial(Treat*Line),0.008388
751,1,1,"UN(4,1)",Vial(Treat*Line),0.03137
751,1,1,"UN(4,2)",Vial(Treat*Line),-0.01975
751,1,1,"UN(4,3)",Vial(Treat*Line),0.07528
751,1,1,"UN(4,4)",Vial(Treat*Line),0.04527
751,1,1,"UN(5,1)",Vial(Treat*Line),0.007305
751,1,1,"UN(5,2)",Vial(Treat*Line),0.01130
751,1,1,"UN(5,3)",Vial(Treat*Line),0.02336
751,1,1,"UN(5,4)",Vial(Treat*Line),-0.01863
751,1,1,"UN(5,5)",Vial(Treat*Line),0
751,1,1,"UN(6,1)",Vial(Treat*Line),-0.03089
751,1,1,"UN(6,2)",Vial(Treat*Line),-0.00548
751,1,1,"UN(6,3)",Vial(Treat*Line),-0.07477
751,1,1,"UN(6,4)",Vial(Treat*Line),-0.05509
751,1,1,"UN(6,5)",Vial(Treat*Line),-0.01205
751,1,1,"UN(6,6)",Vial(Treat*Line),0.08411
751,1,1,"UN(1,1)",Anim(Trea*Line*Vial),0.4087
751,1,1,"UN(2,1)",Anim(Trea*Line*Vial),0.1655
751,1,1,"UN(2,2)",Anim(Trea*Line*Vial),0.7914
751,1,1,"UN(3,1)",Anim(Trea*Line*Vial),0.04882
751,1,1,"UN(3,2)",Anim(Trea*Line*Vial),0.05733
751,1,1,"UN(3,3)",Anim(Trea*Line*Vial),0.7387
751,1,1,"UN(4,1)",Anim(Trea*Line*Vial),0.06609
751,1,1,"UN(4,2)",Anim(Trea*Line*Vial),0.000726
751,1,1,"UN(4,3)",Anim(Trea*Line*Vial),-0.06392
751,1,1,"UN(4,4)",Anim(Trea*Line*Vial),0.8176
751,1,1,"UN(5,1)",Anim(Trea*Line*Vial),0.1384
751,1,1,"UN(5,2)",Anim(Trea*Line*Vial),0.4890
751,1,1,"UN(5,3)",Anim(Trea*Line*Vial),-0.1911
751,1,1,"UN(5,4)",Anim(Trea*Line*Vial),0.1229
751,1,1,"UN(5,5)",Anim(Trea*Line*Vial),0.7514
751,1,1,"UN(6,1)",Anim(Trea*Line*Vial),-0.06048
751,1,1,"UN(6,2)",Anim(Trea*Line*Vial),-0.1549
751,1,1,"UN(6,3)",Anim(Trea*Line*Vial),-0.1481
751,1,1,"UN(6,4)",Anim(Trea*Line*Vial),-0.09768
751,1,1,"UN(6,5)",Anim(Trea*Line*Vial),-0.1356
751,1,1,"UN(6,6)",Anim(Trea*Line*Vial),0.6861
751,1,2,"UN(1,1)",Line,0.1977
751,1,2,"UN(2,1)",Line,-0.05485
751,1,2,"UN(2,2)",Line,0.05036
751,1,2,"UN(3,1)",Line,0.04903
751,1,2,"UN(3,2)",Line,0.000207
751,1,2,"UN(3,3)",Line,0.2772
751,1,2,"UN(4,1)",Line,0.008767
751,1,2,"UN(4,2)",Line,0.001483
751,1,2,"UN(4,3)",Line,0.04491
751,1,2,"UN(4,4)",Line,0.1051
751,1,2,"UN(5,1)",Line,-0.03767
751,1,2,"UN(5,2)",Line,0.08354
751,1,2,"UN(5,3)",Line,-0.02802
751,1,2,"UN(5,4)",Line,-0.03389
751,1,2,"UN(5,5)",Line,0.1218
751,1,2,"UN(6,1)",Line,-0.05268
751,1,2,"UN(6,2)",Line,-0.01881
751,1,2,"UN(6,3)",Line,-0.2479
751,1,2,"UN(6,4)",Line,-0.01128
751,1,2,"UN(6,5)",Line,0.01372
751,1,2,"UN(6,6)",Line,0.2796
751,1,2,"UN(1,1)",Vial(Treat*Line),0.07227
751,1,2,"UN(2,1)",Vial(Treat*Line),0.08897
751,1,2,"UN(2,2)",Vial(Treat*Line),0.03951
751,1,2,"UN(3,1)",Vial(Treat*Line),0.02621
751,1,2,"UN(3,2)",Vial(Treat*Line),0.000249
751,1,2,"UN(3,3)",Vial(Treat*Line),0.04818
751,1,2,"UN(4,1)",Vial(Treat*Line),-0.03794
751,1,2,"UN(4,2)",Vial(Treat*Line),-0.01885
751,1,2,"UN(4,3)",Vial(Treat*Line),0.03128
751,1,2,"UN(4,4)",Vial(Treat*Line),0.03949
751,1,2,"UN(5,1)",Vial(Treat*Line),0.1137
751,1,2,"UN(5,2)",Vial(Treat*Line),0.04198
751,1,2,"UN(5,3)",Vial(Treat*Line),-0.00269
751,1,2,"UN(5,4)",Vial(Treat*Line),-0.03075
751,1,2,"UN(5,5)",Vial(Treat*Line),0.06929
751,1,2,"UN(6,1)",Vial(Treat*Line),-0.03859
751,1,2,"UN(6,2)",Vial(Treat*Line),0.002388
