RandRep,Treat,Gen,CovParm,Subject,Estimate
626,1,1,"UN(1,1)",Line,0.2084
626,1,1,"UN(2,1)",Line,0.1141
626,1,1,"UN(2,2)",Line,0.2382
626,1,1,"UN(3,1)",Line,0.04395
626,1,1,"UN(3,2)",Line,0.1074
626,1,1,"UN(3,3)",Line,0.3284
626,1,1,"UN(4,1)",Line,0.06021
626,1,1,"UN(4,2)",Line,0.03429
626,1,1,"UN(4,3)",Line,0.03312
626,1,1,"UN(4,4)",Line,0.1061
626,1,1,"UN(5,1)",Line,0.1247
626,1,1,"UN(5,2)",Line,0.1393
626,1,1,"UN(5,3)",Line,0.02375
626,1,1,"UN(5,4)",Line,0.006678
626,1,1,"UN(5,5)",Line,0.1379
626,1,1,"UN(6,1)",Line,-0.1105
626,1,1,"UN(6,2)",Line,-0.1864
626,1,1,"UN(6,3)",Line,-0.3478
626,1,1,"UN(6,4)",Line,-0.03696
626,1,1,"UN(6,5)",Line,-0.08255
626,1,1,"UN(6,6)",Line,0.4454
626,1,1,"UN(1,1)",Vial(Treat*Line),0.1208
626,1,1,"UN(2,1)",Vial(Treat*Line),0.03334
626,1,1,"UN(2,2)",Vial(Treat*Line),0.02145
626,1,1,"UN(3,1)",Vial(Treat*Line),-0.02999
626,1,1,"UN(3,2)",Vial(Treat*Line),-0.01619
626,1,1,"UN(3,3)",Vial(Treat*Line),0.02378
626,1,1,"UN(4,1)",Vial(Treat*Line),-0.00771
626,1,1,"UN(4,2)",Vial(Treat*Line),-0.05130
626,1,1,"UN(4,3)",Vial(Treat*Line),0.01328
626,1,1,"UN(4,4)",Vial(Treat*Line),0.03589
626,1,1,"UN(5,1)",Vial(Treat*Line),0.01832
626,1,1,"UN(5,2)",Vial(Treat*Line),-0.00444
626,1,1,"UN(5,3)",Vial(Treat*Line),-0.03964
626,1,1,"UN(5,4)",Vial(Treat*Line),-0.01952
626,1,1,"UN(5,5)",Vial(Treat*Line),0.01950
626,1,1,"UN(6,1)",Vial(Treat*Line),-0.00015
626,1,1,"UN(6,2)",Vial(Treat*Line),0.01975
626,1,1,"UN(6,3)",Vial(Treat*Line),-0.00597
626,1,1,"UN(6,4)",Vial(Treat*Line),-0.03168
626,1,1,"UN(6,5)",Vial(Treat*Line),0.04755
626,1,1,"UN(6,6)",Vial(Treat*Line),0.01331
626,1,1,"UN(1,1)",Anim(Trea*Line*Vial),0.3982
626,1,1,"UN(2,1)",Anim(Trea*Line*Vial),0.1191
626,1,1,"UN(2,2)",Anim(Trea*Line*Vial),0.7029
626,1,1,"UN(3,1)",Anim(Trea*Line*Vial),0.06313
626,1,1,"UN(3,2)",Anim(Trea*Line*Vial),0.04076
626,1,1,"UN(3,3)",Anim(Trea*Line*Vial),0.6435
626,1,1,"UN(4,1)",Anim(Trea*Line*Vial),0.02980
626,1,1,"UN(4,2)",Anim(Trea*Line*Vial),0.03015
626,1,1,"UN(4,3)",Anim(Trea*Line*Vial),-0.05985
626,1,1,"UN(4,4)",Anim(Trea*Line*Vial),0.7781
626,1,1,"UN(5,1)",Anim(Trea*Line*Vial),0.1210
626,1,1,"UN(5,2)",Anim(Trea*Line*Vial),0.4673
626,1,1,"UN(5,3)",Anim(Trea*Line*Vial),-0.1796
626,1,1,"UN(5,4)",Anim(Trea*Line*Vial),0.1061
626,1,1,"UN(5,5)",Anim(Trea*Line*Vial),0.6994
626,1,1,"UN(6,1)",Anim(Trea*Line*Vial),-0.1028
626,1,1,"UN(6,2)",Anim(Trea*Line*Vial),-0.1553
626,1,1,"UN(6,3)",Anim(Trea*Line*Vial),-0.2296
626,1,1,"UN(6,4)",Anim(Trea*Line*Vial),-0.1084
626,1,1,"UN(6,5)",Anim(Trea*Line*Vial),-0.1146
626,1,1,"UN(6,6)",Anim(Trea*Line*Vial),0.6879
626,1,2,"UN(1,1)",Line,0.1994
626,1,2,"UN(2,1)",Line,0.1399
626,1,2,"UN(2,2)",Line,0.1570
626,1,2,"UN(3,1)",Line,-0.05846
626,1,2,"UN(3,2)",Line,0.03340
626,1,2,"UN(3,3)",Line,0.1854
626,1,2,"UN(4,1)",Line,-0.00856
626,1,2,"UN(4,2)",Line,-0.02864
