RandRep,Treat,Gen,CovParm,Subject,Estimate
876,1,2,"UN(5,3)",Vial(Treat*Line),-0.03041
876,1,2,"UN(5,4)",Vial(Treat*Line),-0.03631
876,1,2,"UN(5,5)",Vial(Treat*Line),0.06916
876,1,2,"UN(6,1)",Vial(Treat*Line),-0.00322
876,1,2,"UN(6,2)",Vial(Treat*Line),-0.00232
876,1,2,"UN(6,3)",Vial(Treat*Line),-0.01928
876,1,2,"UN(6,4)",Vial(Treat*Line),0.02047
876,1,2,"UN(6,5)",Vial(Treat*Line),-0.01680
876,1,2,"UN(6,6)",Vial(Treat*Line),0.02484
876,1,2,"UN(1,1)",Anim(Trea*Line*Vial),0.5543
876,1,2,"UN(2,1)",Anim(Trea*Line*Vial),0.2333
876,1,2,"UN(2,2)",Anim(Trea*Line*Vial),0.8527
876,1,2,"UN(3,1)",Anim(Trea*Line*Vial),0.003321
876,1,2,"UN(3,2)",Anim(Trea*Line*Vial),0.01005
876,1,2,"UN(3,3)",Anim(Trea*Line*Vial),0.6865
876,1,2,"UN(4,1)",Anim(Trea*Line*Vial),0.001800
876,1,2,"UN(4,2)",Anim(Trea*Line*Vial),0.01345
876,1,2,"UN(4,3)",Anim(Trea*Line*Vial),0.04143
876,1,2,"UN(4,4)",Anim(Trea*Line*Vial),0.7290
876,1,2,"UN(5,1)",Anim(Trea*Line*Vial),0.2045
876,1,2,"UN(5,2)",Anim(Trea*Line*Vial),0.4863
876,1,2,"UN(5,3)",Anim(Trea*Line*Vial),-0.2202
876,1,2,"UN(5,4)",Anim(Trea*Line*Vial),0.09867
876,1,2,"UN(5,5)",Anim(Trea*Line*Vial),0.7062
876,1,2,"UN(6,1)",Anim(Trea*Line*Vial),-0.1308
876,1,2,"UN(6,2)",Anim(Trea*Line*Vial),-0.1826
876,1,2,"UN(6,3)",Anim(Trea*Line*Vial),-0.2156
876,1,2,"UN(6,4)",Anim(Trea*Line*Vial),-0.1934
876,1,2,"UN(6,5)",Anim(Trea*Line*Vial),-0.1821
